date_trap_set,contract,location,zone,mosquito_species,mosquito_count,trap_name,
7/17/2024,Fort Collins,Fishback,NW,Culex tarsalis,6,FC-041,
7/17/2024,Fort Collins,Fishback,NW,Culex pipiens,9,FC-041,
7/17/2024,Fort Collins,Casa Grande and Downing,SW,Culex pipiens,6,FC-049,
7/17/2024,Fort Collins,603 Gilgalad Way,NW,Culex pipiens,2,FC-052,
7/17/2024,Fort Collins,603 Gilgalad Way,NW,Culex tarsalis,6,FC-052,
7/17/2024,Fort Collins,Spring Creek Trail-- Michener Dr,SW,Culex tarsalis,2,FC-058,
7/17/2024,Fort Collins,808 Ponderosa,NW,Culex pipiens,3,FC-060,
7/17/2024,Fort Collins,808 Ponderosa,NW,Culex tarsalis,3,FC-060,
7/17/2024,Fort Collins,Holley Plant Research Center,NW,Culex tarsalis,23,FC-061,
7/17/2024,Fort Collins,Holley Plant Research Center,NW,Culex pipiens,19,FC-061,
7/17/2024,Fort Collins,Red Fox Meadows,NW,Culex pipiens,4,FC-063,
7/17/2024,Fort Collins,Red Fox Meadows,NW,Culex tarsalis,3,FC-063,
7/17/2024,Fort Collins,Red Fox Meadows Gravid,NW,Culex pipiens,18,FC-063gr,
7/17/2024,Fort Collins,118 S Grant ,NW,Culex pipiens,10,FC-073,
7/17/2024,Fort Collins,Mountain Grandview Cemetery Gravid,NW,Culex pipiens,69,FC-090gr,
7/17/2024,Fort Collins,Mountain Grandview Cemetery Gravid,NW,Culex tarsalis,1,FC-090gr,
7/18/2024,Fort Collins,Magic Carpet,SW,Culex tarsalis,2,FC-001,
7/18/2024,Fort Collins,Magic Carpet,SW,Culex pipiens,1,FC-001,
7/18/2024,Fort Collins,Ben's Park,SE,Culex tarsalis,21,FC-029,
7/18/2024,Fort Collins,Ben's Park,SE,Culex pipiens,4,FC-029,
7/18/2024,Fort Collins,Ben's Park Gravid,SE,Culex pipiens,12,FC-029gr,
7/18/2024,Fort Collins,Chelsea Ridge,SW,Culex tarsalis,15,FC-037,
7/18/2024,Fort Collins,Chelsea Ridge,SW,Culex pipiens,2,FC-037,
7/18/2024,Fort Collins,737 Parliament,SE,Culex tarsalis,1,FC-054,
7/18/2024,Fort Collins,Water's Edge at Blue Mesa,SW,Culex tarsalis,2,FC-062,
7/18/2024,Fort Collins,Water's Edge at Blue Mesa,SW,Culex pipiens,5,FC-062,
7/18/2024,Fort Collins,5029 Crest Dr,SW,Culex tarsalis,3,FC-068,
7/18/2024,Fort Collins,Silvergate Rd,SW,Culex pipiens,1,FC-071,
7/18/2024,Fort Collins,Kunz Ct. and Brook Dr. Gravid,SW,Culex pipiens,29,FC-089gr,
7/18/2024,Fort Collins,Lopez Elementary,SW,Culex tarsalis,2,FC-093,
7/18/2024,Fort Collins,Lopez Elementary,SW,Culex pipiens,3,FC-093,
7/15/2024,Loveland,29th and Madison,LV,Culex tarsalis,39,LV-004,
7/15/2024,Loveland,29th and Madison,LV,Culex pipiens,2,LV-004,
7/15/2024,Loveland,Outlet Mall Apartments,LV,Culex tarsalis,12,LV-066,
7/15/2024,Loveland,Horseshoe Peninsula,LV,Culex tarsalis,14,LV-069,
7/15/2024,Loveland,7 Lakes Park,LV,Culex tarsalis,53,LV-078,
7/15/2024,Loveland,7 Lakes Park,LV,Culex pipiens,3,LV-078,
7/15/2024,Loveland,7 Lakes Gravid,LV,Culex tarsalis,1,LV-079gr,
7/15/2024,Loveland,7 Lakes Gravid,LV,Culex pipiens,49,LV-079gr,
7/15/2024,Loveland,Harding and Reagan,LV,Culex pipiens,3,LV-080,
7/15/2024,Loveland,Harding and Reagan,LV,Culex tarsalis,15,LV-080,
7/15/2024,Loveland,2229 Arikaree,LV,Culex pipiens,2,LV-088,
7/15/2024,Loveland,2229 Arikaree,LV,Culex tarsalis,41,LV-088,
7/15/2024,Loveland,Pond at Silver Lake,LV,Culex tarsalis,18,LV-093,
7/15/2024,Loveland,Pond at Silver Lake,LV,Culex pipiens,1,LV-093,
7/15/2024,Loveland,Boyd Lake,LV,No Mosquitoes,0,LV-095,
7/15/2024,Loveland,Sundisk and 13E,LV,Culex tarsalis,7,LV-116,
7/15/2024,Loveland,Centerra,LV,Trap Malfunction,0,LV-117,
7/16/2024,Loveland,Jefferson and 11th,LV,Culex tarsalis,9,LV-074,
7/16/2024,Loveland,Jefferson and 11th,LV,Culex pipiens,8,LV-074,
7/16/2024,Loveland,Jefferson And 11th Gravid,LV,Culex pipiens,29,LV-074gr,
7/16/2024,Loveland,1105 East 1st Street,LV,Culex pipiens,1,LV-077,
7/16/2024,Loveland,1105 East 1st Street,LV,Culex tarsalis,14,LV-077,
7/16/2024,Loveland,9th and DesMoines,LV,Culex tarsalis,32,LV-089,
7/16/2024,Loveland,Downtown Loveland ,LV,No Mosquitoes,0,LV-100,
7/16/2024,Loveland,Cr 20 and 9,LV,Culex tarsalis,28,LV-104,
7/16/2024,Loveland,Cr 20 and 9,LV,Culex pipiens,1,LV-104,
7/16/2024,Loveland,Big Thompson ,LV,Culex pipiens,1,LV-110,
7/16/2024,Loveland,Big Thompson ,LV,Culex tarsalis,11,LV-110,
7/16/2024,Loveland,915 S Boise,LV,Culex pipiens,15,LV-112,
7/16/2024,Loveland,915 S Boise,LV,Culex tarsalis,78,LV-112,
7/16/2024,Loveland,Springs at Marianna,LV,Culex tarsalis,3,LV-113,
7/16/2024,Loveland,Golf Vista,LV,Culex tarsalis,8,LV-118,
7/16/2024,Loveland,Golf Vista,LV,Culex pipiens,5,LV-118,
7/16/2024,Loveland,Keysight Technologies,LV,Culex tarsalis,23,LV-124,
7/16/2024,Loveland,8th And No Name,LV,No Mosquitoes,0,LV-125,
7/17/2024,Loveland,Jocelyn and Eagle,LV,Culex tarsalis,5,LV-019,
7/17/2024,Loveland,Cattail Pond,LV,Culex tarsalis,42,LV-020,
7/17/2024,Loveland,Linda and 26th ,LV,No Mosquitoes,0,LV-021,
7/17/2024,Loveland,2001 S Douglas,LV,Culex tarsalis,15,LV-042,
7/17/2024,Loveland,2001 S Douglas,LV,Culex pipiens,2,LV-042,
7/17/2024,Loveland,Del Norte Private Park,LV,Culex tarsalis,6,LV-067,
7/17/2024,Loveland,Derby Hill,LV,Culex tarsalis,22,LV-087,
7/17/2024,Loveland,Derby Hill,LV,Culex pipiens,9,LV-087,
7/17/2024,Loveland,Jill Drive Pond,LV,Culex tarsalis,42,LV-114,
7/17/2024,Loveland,Jill Drive Pond,LV,Culex pipiens,4,LV-114,
7/17/2024,Loveland,End of City Limits North,LV,Culex tarsalis,28,LV-120,
7/18/2024,Loveland,Hendler Gravid,LV,Culex pipiens,30,LV-010gr,
7/18/2024,Loveland,Estrella Park,LV,Culex tarsalis,3,LV-014,
7/18/2024,Loveland,Estrella Park,LV,Culex pipiens,4,LV-014,
7/18/2024,Loveland,Farasita at Rist Benson,LV,Culex tarsalis,4,LV-097,
7/18/2024,Loveland,Benson Sculpture Park,LV,Culex tarsalis,11,LV-098,
7/18/2024,Loveland,Benson Sculpture Park,LV,Culex pipiens,4,LV-098,
7/18/2024,Loveland,Cattails Golfcourse,LV,Culex tarsalis,2,LV-099,
7/18/2024,Loveland,Glen Isle Ditch,LV,Culex tarsalis,8,LV-102,
7/18/2024,Loveland,Glen Isle Ditch,LV,Culex pipiens,11,LV-102,
7/18/2024,Loveland,West 43rd Railroad,LV,Culex tarsalis,3,LV-105,
7/18/2024,Loveland,Bayfield and Windsor,LV,Culex tarsalis,1,LV-121,
7/18/2024,Loveland,Fallgold,LV,No Mosquitoes,0,LV-122,
7/15/2024,Timnath,Timnath - 5th and Kern,TT,Culex tarsalis,37,LC-010 ,
7/15/2024,Timnath,Timnath - Golf Course,TT,Culex tarsalis,8,LC-022 ,
7/15/2024,Timnath,Timnath - Summerfields,TT,Culex pipiens,1,LC-048 ,
7/15/2024,Timnath,Timnath - Summerfields,TT,Culex tarsalis,20,LC-048 ,
7/15/2024,Timnath,Timnath - Wildwing,TT,Culex tarsalis,11,LC-050 ,
7/15/2024,Timnath,Timnath - Serratoga Falls,TT,Culex tarsalis,8,LC-051 ,
7/15/2024,Timnath,Timnath - Serratoga Falls,TT,Culex pipiens,1,LC-051 ,
7/15/2024,Timnath,Timnath - Walmart,TT,Culex tarsalis,112,LC-052 ,
7/15/2024,Timnath,Timnath - Trailside,TT,Culex tarsalis,43,LC-057,
