"","trap_id","trap_date","spp","method","total","zone","year","week"
"38","FC-075GR",2024-06-18,"Tarsalis","G",2,"SE",2024,25
"39","FC-088GR",2024-06-18,"Pipiens","G",19,"SE",2024,25
"40","FC-088GR",2024-06-18,"Tarsalis","G",1,"SE",2024,25
"41","FC-011",2024-06-19,"Tarsalis","L",2,"NW",2024,25
"42","FC-041",2024-06-19,"Pipiens","L",3,"NW",2024,25
"43","FC-052",2024-06-19,"Pipiens","L",1,"NW",2024,25
"44","FC-052",2024-06-19,"Tarsalis","L",6,"NW",2024,25
"45","FC-058",2024-06-19,"Tarsalis","L",1,"SW",2024,25
"46","FC-060",2024-06-19,"Pipiens","L",1,"NW",2024,25
"47","FC-061",2024-06-19,"Pipiens","L",10,"NW",2024,25
"48","FC-061",2024-06-19,"Tarsalis","L",2,"NW",2024,25
"49","FC-073",2024-06-19,"Tarsalis","L",3,"NW",2024,25
"50","FC-073",2024-06-19,"Pipiens","L",1,"NW",2024,25
"51","FC-090GR",2024-06-19,"Pipiens","G",3,"NW",2024,25
"52","FC-001",2024-06-20,"Tarsalis","L",3,"SW",2024,25
"53","FC-029GR",2024-06-20,"Pipiens","G",4,"SE",2024,25
"54","FC-037",2024-06-20,"Tarsalis","L",6,"SW",2024,25
"55","FC-037",2024-06-20,"Pipiens","L",4,"SW",2024,25
"56","FC-054",2024-06-20,"Tarsalis","L",2,"SE",2024,25
"57","FC-089GR",2024-06-20,"Pipiens","G",3,"SW",2024,25
"58","FC-093",2024-06-20,"Tarsalis","L",1,"SW",2024,25
"59","LV-069",2024-06-17,"Tarsalis","L",2,"LV",2024,25
"60","LV-095",2024-06-17,"Tarsalis","L",12,"LV",2024,25
"61","LV-089",2024-06-18,"Tarsalis","L",5,"LV",2024,25
"62","LV-104",2024-06-18,"Pipiens","L",1,"LV",2024,25
"63","LV-104",2024-06-18,"Tarsalis","L",9,"LV",2024,25
"64","LV-110",2024-06-18,"Tarsalis","L",13,"LV",2024,25
"65","LV-110",2024-06-18,"Pipiens","L",1,"LV",2024,25
"66","LV-020",2024-06-19,"Tarsalis","L",57,"LV",2024,25
"67","LC-001",2024-06-26,"Pipiens","L",3,"BE",2024,26
"68","LC-001",2024-06-26,"Tarsalis","L",16,"BE",2024,26
"69","LC-049",2024-06-26,"Tarsalis","L",8,"BE",2024,26
"70","LC-053",2024-06-26,"Pipiens","L",2,"BE",2024,26
"71","LC-053",2024-06-26,"Tarsalis","L",42,"BE",2024,26
"72","LC-054",2024-06-26,"Pipiens","L",2,"BE",2024,26
"73","LC-054",2024-06-26,"Tarsalis","L",58,"BE",2024,26
"74","WC-055",2024-06-26,"Tarsalis","L",1,"BE",2024,26
"75","FC-006",2024-06-24,"Pipiens","L",1,"NE",2024,26
"76","FC-006",2024-06-24,"Tarsalis","L",5,"NE",2024,26
"77","FC-014",2024-06-24,"Tarsalis","L",19,"NE",2024,26
"78","FC-019",2024-06-24,"Tarsalis","L",6,"NE",2024,26
"79","FC-034",2024-06-24,"Pipiens","L",1,"NE",2024,26
"80","FC-034",2024-06-24,"Tarsalis","L",24,"NE",2024,26
"81","FC-036",2024-06-24,"Pipiens","L",7,"NW",2024,26
"82","FC-036",2024-06-24,"Tarsalis","L",21,"NW",2024,26
"83","FC-038",2024-06-24,"Tarsalis","L",94,"NE",2024,26
"84","FC-038",2024-06-24,"Pipiens","L",10,"NE",2024,26
"85","FC-040",2024-06-24,"Pipiens","L",3,"NE",2024,26
"86","FC-040",2024-06-24,"Tarsalis","L",29,"NE",2024,26
"87","FC-040GR",2024-06-24,"Tarsalis","G",4,"NE",2024,26
"88","FC-040GR",2024-06-24,"Pipiens","G",80,"NE",2024,26
"89","FC-066",2024-06-24,"Tarsalis","L",59,"NE",2024,26
"90","FC-066",2024-06-24,"Pipiens","L",8,"NE",2024,26
"91","FC-066GR",2024-06-24,"Pipiens","G",1,"NE",2024,26
"92","FC-067",2024-06-24,"Tarsalis","L",3,"NE",2024,26
"93","FC-069",2024-06-24,"Tarsalis","L",12,"NE",2024,26
"94","FC-072",2024-06-24,"Tarsalis","L",13,"NE",2024,26
"95","FC-072",2024-06-24,"Pipiens","L",3,"NE",2024,26
"96","FC-091GR",2024-06-24,"Pipiens","G",6,"NE",2024,26
"97","FC-091GR",2024-06-24,"Tarsalis","G",1,"NE",2024,26
"98","FC-092GR",2024-06-24,"Pipiens","G",22,"NE",2024,26
"99","FC-004",2024-06-25,"Pipiens","L",8,"SE",2024,26
"100","FC-004",2024-06-25,"Tarsalis","L",41,"SE",2024,26
"101","FC-023",2024-06-25,"Tarsalis","L",2,"SE",2024,26
"102","FC-023",2024-06-25,"Pipiens","L",1,"SE",2024,26
"103","FC-027",2024-06-25,"Tarsalis","L",3,"SE",2024,26
"104","FC-027",2024-06-25,"Pipiens","L",2,"SE",2024,26
"105","FC-031",2024-06-25,"Tarsalis","L",17,"SE",2024,26
"106","FC-039",2024-06-25,"Tarsalis","L",3,"SE",2024,26
"107","FC-046",2024-06-25,"Tarsalis","L",6,"SE",2024,26
"108","FC-046",2024-06-25,"Pipiens","L",1,"SE",2024,26
"109","FC-047",2024-06-25,"Tarsalis","L",7,"SE",2024,26
"110","FC-050",2024-06-25,"Pipiens","L",3,"SE",2024,26
"111","FC-050",2024-06-25,"Tarsalis","L",2,"SE",2024,26
"112","FC-053",2024-06-25,"Tarsalis","L",29,"SE",2024,26
"113","FC-059",2024-06-25,"Tarsalis","L",2,"SE",2024,26
"114","FC-064",2024-06-25,"Tarsalis","L",52,"SE",2024,26
"115","FC-064",2024-06-25,"Pipiens","L",6,"SE",2024,26
"116","FC-074",2024-06-25,"Pipiens","L",1,"SE",2024,26
"117","FC-074",2024-06-25,"Tarsalis","L",38,"SE",2024,26
"118","FC-075",2024-06-25,"Tarsalis","L",3,"SE",2024,26
"119","FC-075GR",2024-06-25,"Trap Malfunction","G",0,"SE",2024,26
"120","FC-088GR",2024-06-25,"Pipiens","G",5,"SE",2024,26
"121","FC-011",2024-06-26,"Pipiens","L",8,"NW",2024,26
"122","FC-015",2024-06-26,"Pipiens","L",3,"NW",2024,26
"123","FC-015",2024-06-26,"Tarsalis","L",1,"NW",2024,26
"124","FC-041",2024-06-26,"Trap Malfunction","L",0,"NW",2024,26
"125","FC-052",2024-06-26,"Tarsalis","L",7,"NW",2024,26
"126","FC-052",2024-06-26,"Pipiens","L",1,"NW",2024,26
"127","FC-058",2024-06-26,"Pipiens","L",1,"SW",2024,26
"128","FC-060",2024-06-26,"Tarsalis","L",1,"NW",2024,26
"129","FC-060",2024-06-26,"Pipiens","L",3,"NW",2024,26
"130","FC-061",2024-06-26,"Tarsalis","L",10,"NW",2024,26
"131","FC-061",2024-06-26,"Pipiens","L",6,"NW",2024,26
"132","FC-063",2024-06-26,"Tarsalis","L",1,"NW",2024,26
"133","FC-063GR",2024-06-26,"Pipiens","G",10,"NW",2024,26
"134","FC-073",2024-06-26,"Tarsalis","L",2,"NW",2024,26
"135","FC-073",2024-06-26,"Pipiens","L",1,"NW",2024,26
"136","FC-090GR",2024-06-26,"Pipiens","G",52,"NW",2024,26
"137","FC-001",2024-06-27,"Pipiens","L",1,"SW",2024,26
"138","FC-001",2024-06-27,"Tarsalis","L",3,"SW",2024,26
"139","FC-029",2024-06-27,"Tarsalis","L",4,"SE",2024,26
"140","FC-029GR",2024-06-27,"Pipiens","G",18,"SE",2024,26
"141","FC-037",2024-06-27,"Tarsalis","L",7,"SW",2024,26
"142","FC-037",2024-06-27,"Pipiens","L",1,"SW",2024,26
"143","FC-054",2024-06-27,"Tarsalis","L",3,"SE",2024,26
"144","FC-062",2024-06-27,"Tarsalis","L",1,"SW",2024,26
"145","FC-068",2024-06-27,"Pipiens","L",1,"SW",2024,26
"146","FC-068",2024-06-27,"Tarsalis","L",2,"SW",2024,26
"147","FC-071",2024-06-27,"Pipiens","L",1,"SW",2024,26
"148","FC-071",2024-06-27,"Tarsalis","L",2,"SW",2024,26
"149","FC-089GR",2024-06-27,"Pipiens","G",13,"SW",2024,26
"150","FC-093",2024-06-27,"Pipiens","L",1,"SW",2024,26
"151","FC-093",2024-06-27,"Tarsalis","L",2,"SW",2024,26
"152","LV-069",2024-06-24,"Tarsalis","L",3,"LV",2024,26
"153","LV-095",2024-06-24,"Tarsalis","L",16,"LV",2024,26
"154","LV-089",2024-06-25,"Pipiens","L",2,"LV",2024,26
"155","LV-089",2024-06-25,"Tarsalis","L",60,"LV",2024,26
"156","LV-104",2024-06-25,"Tarsalis","L",45,"LV",2024,26
"157","LV-104",2024-06-25,"Pipiens","L",6,"LV",2024,26
"158","LV-110",2024-06-25,"Tarsalis","L",8,"LV",2024,26
"159","LV-020",2024-06-26,"Tarsalis","L",66,"LV",2024,26
"160","LC-001",2024-07-03,"Tarsalis","L",42,"BE",2024,27
"161","LC-001",2024-07-03,"Pipiens","L",14,"BE",2024,27
"162","LC-049",2024-07-03,"Pipiens","L",1,"BE",2024,27
"163","LC-049",2024-07-03,"Tarsalis","L",6,"BE",2024,27
"164","LC-053",2024-07-03,"Tarsalis","L",55,"BE",2024,27
"165","LC-054",2024-07-03,"Tarsalis","L",44,"BE",2024,27
"166","LC-054",2024-07-03,"Pipiens","L",1,"BE",2024,27
"167","WC-055",2024-07-03,"Tarsalis","L",2,"BE",2024,27
"168","FC-006",2024-07-01,"Pipiens","L",1,"NE",2024,27
"169","FC-014",2024-07-01,"Tarsalis","L",11,"NE",2024,27
"170","FC-019",2024-07-01,"Tarsalis","L",5,"NE",2024,27
"171","FC-019",2024-07-01,"Pipiens","L",5,"NE",2024,27
"172","FC-034",2024-07-01,"Tarsalis","L",23,"NE",2024,27
"173","FC-036",2024-07-01,"Pipiens","L",15,"NW",2024,27
"174","FC-036",2024-07-01,"Tarsalis","L",18,"NW",2024,27
"175","FC-038",2024-07-01,"Tarsalis","L",31,"NE",2024,27
"176","FC-040",2024-07-01,"Tarsalis","L",15,"NE",2024,27
"177","FC-040",2024-07-01,"Pipiens","L",3,"NE",2024,27
"178","FC-040GR",2024-07-01,"Pipiens","G",158,"NE",2024,27
"179","FC-066",2024-07-01,"Pipiens","L",12,"NE",2024,27
"180","FC-066",2024-07-01,"Tarsalis","L",47,"NE",2024,27
"181","FC-066GR",2024-07-01,"Pipiens","G",9,"NE",2024,27
"182","FC-067",2024-07-01,"Tarsalis","L",1,"NE",2024,27
"183","FC-069",2024-07-01,"Tarsalis","L",17,"NE",2024,27
"184","FC-069",2024-07-01,"Pipiens","L",1,"NE",2024,27
"185","FC-072",2024-07-01,"Pipiens","L",14,"NE",2024,27
"186","FC-072",2024-07-01,"Tarsalis","L",17,"NE",2024,27
"187","FC-091GR",2024-07-01,"Pipiens","G",17,"NE",2024,27
"188","FC-091GR",2024-07-01,"Tarsalis","G",1,"NE",2024,27
"189","FC-092GR",2024-07-01,"Pipiens","G",7,"NE",2024,27
"190","FC-004",2024-07-02,"Tarsalis","L",14,"SE",2024,27
"191","FC-004",2024-07-02,"Pipiens","L",3,"SE",2024,27
"192","FC-011",2024-07-02,"Tarsalis","L",2,"NW",2024,27
"193","FC-011",2024-07-02,"Pipiens","L",4,"NW",2024,27
"194","FC-015",2024-07-02,"Tarsalis","L",1,"NW",2024,27
"195","FC-015",2024-07-02,"Pipiens","L",1,"NW",2024,27
"196","FC-023",2024-07-02,"Pipiens","L",3,"SE",2024,27
"197","FC-023",2024-07-02,"Tarsalis","L",5,"SE",2024,27
"198","FC-027",2024-07-02,"Tarsalis","L",12,"SE",2024,27
"199","FC-027",2024-07-02,"Pipiens","L",1,"SE",2024,27
"200","FC-031",2024-07-02,"Pipiens","L",4,"SE",2024,27
"201","FC-031",2024-07-02,"Tarsalis","L",11,"SE",2024,27
"202","FC-039",2024-07-02,"Tarsalis","L",30,"SE",2024,27
"203","FC-041",2024-07-02,"Tarsalis","L",1,"NW",2024,27
"204","FC-041",2024-07-02,"Pipiens","L",1,"NW",2024,27
"205","FC-046",2024-07-02,"Tarsalis","L",5,"SE",2024,27
"206","FC-046",2024-07-02,"Pipiens","L",1,"SE",2024,27
"207","FC-047",2024-07-02,"Tarsalis","L",6,"SE",2024,27
"208","FC-047",2024-07-02,"Pipiens","L",1,"SE",2024,27
"209","FC-049",2024-07-02,"Pipiens","L",2,"SW",2024,27
"210","FC-050",2024-07-02,"Tarsalis","L",3,"SE",2024,27
"211","FC-052",2024-07-02,"Tarsalis","L",1,"NW",2024,27
"212","FC-052",2024-07-02,"Pipiens","L",1,"NW",2024,27
"213","FC-053",2024-07-02,"Tarsalis","L",11,"SE",2024,27
"214","FC-060",2024-07-02,"Tarsalis","L",1,"NW",2024,27
"215","FC-061",2024-07-02,"Tarsalis","L",7,"NW",2024,27
"216","FC-061",2024-07-02,"Pipiens","L",5,"NW",2024,27
"217","FC-063GR",2024-07-02,"Pipiens","G",6,"NW",2024,27
"218","FC-064",2024-07-02,"Pipiens","L",3,"SE",2024,27
"219","FC-064",2024-07-02,"Tarsalis","L",15,"SE",2024,27
"220","FC-073",2024-07-02,"Pipiens","L",3,"NW",2024,27
"221","FC-074",2024-07-02,"Tarsalis","L",4,"SE",2024,27
"222","FC-075",2024-07-02,"Tarsalis","L",2,"SE",2024,27
"223","FC-075",2024-07-02,"Pipiens","L",3,"SE",2024,27
"224","FC-075GR",2024-07-02,"Pipiens","G",13,"SE",2024,27
"225","FC-088GR",2024-07-02,"Pipiens","G",64,"SE",2024,27
"226","FC-090GR",2024-07-02,"Pipiens","G",20,"NW",2024,27
"227","FC-029",2024-07-03,"Tarsalis","L",4,"SE",2024,27
"228","FC-029",2024-07-03,"Pipiens","L",2,"SE",2024,27
"229","FC-029GR",2024-07-03,"Trap Malfunction","G",0,"SE",2024,27
"230","FC-037",2024-07-03,"Pipiens","L",1,"SW",2024,27
"231","FC-037",2024-07-03,"Tarsalis","L",5,"SW",2024,27
"232","FC-054",2024-07-03,"Tarsalis","L",5,"SE",2024,27
"233","FC-057",2024-07-03,"Tarsalis","L",3,"SW",2024,27
"234","FC-062",2024-07-03,"Pipiens","L",4,"SW",2024,27
"235","FC-068",2024-07-03,"Tarsalis","L",1,"SW",2024,27
"236","FC-071",2024-07-03,"Pipiens","L",1,"SW",2024,27
"237","FC-089GR",2024-07-03,"Pipiens","G",7,"SW",2024,27
"238","FC-093",2024-07-03,"Tarsalis","L",1,"SW",2024,27
"239","LV-069",2024-07-01,"Tarsalis","L",1,"LV",2024,27
"240","LV-095",2024-07-01,"Tarsalis","L",18,"LV",2024,27
"241","LV-089",2024-07-02,"Tarsalis","L",70,"LV",2024,27
"242","LV-104",2024-07-02,"Pipiens","L",4,"LV",2024,27
"243","LV-104",2024-07-02,"Tarsalis","L",34,"LV",2024,27
"244","LV-110",2024-07-02,"Pipiens","L",3,"LV",2024,27
"245","LV-110",2024-07-02,"Tarsalis","L",13,"LV",2024,27
"246","LV-020",2024-07-03,"Tarsalis","L",47,"LV",2024,27
"247","LC-001",2024-07-10,"Tarsalis","L",44,"BE",2024,28
"248","LC-001",2024-07-10,"Pipiens","L",7,"BE",2024,28
"249","LC-049",2024-07-10,"Tarsalis","L",41,"BE",2024,28
"250","LC-053",2024-07-10,"Tarsalis","L",12,"BE",2024,28
"251","LC-054",2024-07-10,"Pipiens","L",1,"BE",2024,28
"252","LC-054",2024-07-10,"Tarsalis","L",72,"BE",2024,28
"253","WC-055",2024-07-10,"Tarsalis","L",5,"BE",2024,28
"254","FC-006",2024-07-08,"Tarsalis","L",1,"NE",2024,28
"255","FC-014",2024-07-08,"Tarsalis","L",30,"NE",2024,28
"256","FC-014",2024-07-08,"Pipiens","L",5,"NE",2024,28
"257","FC-019",2024-07-08,"Pipiens","L",21,"NE",2024,28
"258","FC-019",2024-07-08,"Tarsalis","L",22,"NE",2024,28
"259","FC-034",2024-07-08,"Tarsalis","L",8,"NE",2024,28
"260","FC-036",2024-07-08,"Tarsalis","L",14,"NW",2024,28
"261","FC-036",2024-07-08,"Pipiens","L",10,"NW",2024,28
"262","FC-038",2024-07-08,"Tarsalis","L",14,"NE",2024,28
"263","FC-040",2024-07-08,"Tarsalis","L",23,"NE",2024,28
"264","FC-040",2024-07-08,"Pipiens","L",5,"NE",2024,28
"265","FC-040GR",2024-07-08,"Pipiens","G",38,"NE",2024,28
"266","FC-066",2024-07-08,"Tarsalis","L",25,"NE",2024,28
"267","FC-066",2024-07-08,"Pipiens","L",12,"NE",2024,28
"268","FC-066GR",2024-07-08,"Pipiens","G",4,"NE",2024,28
"269","FC-067",2024-07-08,"Tarsalis","L",1,"NE",2024,28
"270","FC-069",2024-07-08,"Tarsalis","L",2,"NE",2024,28
"271","FC-069",2024-07-08,"Pipiens","L",2,"NE",2024,28
"272","FC-072",2024-07-08,"Tarsalis","L",19,"NE",2024,28
"273","FC-072",2024-07-08,"Pipiens","L",15,"NE",2024,28
"274","FC-091GR",2024-07-08,"Pipiens","G",2,"NE",2024,28
"275","FC-092GR",2024-07-08,"Pipiens","G",9,"NE",2024,28
"276","FC-004",2024-07-09,"Pipiens","L",11,"SE",2024,28
"277","FC-004",2024-07-09,"Tarsalis","L",33,"SE",2024,28
"278","FC-023",2024-07-09,"Tarsalis","L",7,"SE",2024,28
"279","FC-023",2024-07-09,"Pipiens","L",1,"SE",2024,28
"280","FC-027",2024-07-09,"Pipiens","L",19,"SE",2024,28
"281","FC-027",2024-07-09,"Tarsalis","L",6,"SE",2024,28
"282","FC-031",2024-07-09,"Pipiens","L",3,"SE",2024,28
"283","FC-031",2024-07-09,"Tarsalis","L",97,"SE",2024,28
"284","FC-039",2024-07-09,"Tarsalis","L",7,"SE",2024,28
"285","FC-046",2024-07-09,"Pipiens","L",9,"SE",2024,28
"286","FC-046",2024-07-09,"Tarsalis","L",16,"SE",2024,28
"287","FC-047",2024-07-09,"Pipiens","L",2,"SE",2024,28
"288","FC-047",2024-07-09,"Tarsalis","L",11,"SE",2024,28
"289","FC-050",2024-07-09,"Tarsalis","L",3,"SE",2024,28
"290","FC-050",2024-07-09,"Pipiens","L",6,"SE",2024,28
"291","FC-053",2024-07-09,"Tarsalis","L",4,"SE",2024,28
"292","FC-059",2024-07-09,"No Mosquitoes","L",0,"SE",2024,28
"293","FC-064",2024-07-09,"Tarsalis","L",47,"SE",2024,28
"294","FC-064",2024-07-09,"Pipiens","L",20,"SE",2024,28
"295","FC-074",2024-07-09,"Pipiens","L",2,"SE",2024,28
"296","FC-074",2024-07-09,"Tarsalis","L",58,"SE",2024,28
"297","FC-075",2024-07-09,"Pipiens","L",6,"SE",2024,28
"298","FC-075",2024-07-09,"Tarsalis","L",7,"SE",2024,28
"299","FC-075GR",2024-07-09,"Pipiens","G",13,"SE",2024,28
"300","FC-088GR",2024-07-09,"Pipiens","G",63,"SE",2024,28
"301","FC-088GR",2024-07-09,"Tarsalis","G",1,"SE",2024,28
"302","FC-011",2024-07-10,"Pipiens","L",9,"NW",2024,28
"303","FC-011",2024-07-10,"Tarsalis","L",2,"NW",2024,28
"304","FC-015",2024-07-10,"Pipiens","L",2,"NW",2024,28
"305","FC-041",2024-07-10,"Tarsalis","L",4,"NW",2024,28
"306","FC-041",2024-07-10,"Pipiens","L",13,"NW",2024,28
"307","FC-049",2024-07-10,"Pipiens","L",13,"SW",2024,28
"308","FC-049",2024-07-10,"Tarsalis","L",13,"SW",2024,28
"309","FC-052",2024-07-10,"Pipiens","L",4,"NW",2024,28
"310","FC-052",2024-07-10,"Tarsalis","L",2,"NW",2024,28
"311","FC-058",2024-07-10,"Tarsalis","L",1,"SW",2024,28
"312","FC-058",2024-07-10,"Pipiens","L",2,"SW",2024,28
"313","FC-060",2024-07-10,"Tarsalis","L",5,"NW",2024,28
"314","FC-060",2024-07-10,"Pipiens","L",10,"NW",2024,28
"315","FC-061",2024-07-10,"Pipiens","L",24,"NW",2024,28
"316","FC-061",2024-07-10,"Tarsalis","L",49,"NW",2024,28
"317","FC-063",2024-07-10,"Pipiens","L",3,"NW",2024,28
"318","FC-063",2024-07-10,"Tarsalis","L",3,"NW",2024,28
"319","FC-063GR",2024-07-10,"Pipiens","G",16,"NW",2024,28
"320","FC-073",2024-07-10,"Pipiens","L",4,"NW",2024,28
"321","FC-073",2024-07-10,"Tarsalis","L",9,"NW",2024,28
"322","FC-090GR",2024-07-10,"Pipiens","G",53,"NW",2024,28
"323","FC-001",2024-07-11,"Tarsalis","L",9,"SW",2024,28
"324","FC-001",2024-07-11,"Pipiens","L",1,"SW",2024,28
"325","FC-029",2024-07-11,"Pipiens","L",3,"SE",2024,28
"326","FC-029",2024-07-11,"Tarsalis","L",9,"SE",2024,28
"327","FC-029GR",2024-07-11,"Pipiens","G",30,"SE",2024,28
"328","FC-037",2024-07-11,"Tarsalis","L",21,"SW",2024,28
"329","FC-054",2024-07-11,"No Mosquitoes","L",0,"SE",2024,28
"330","FC-057",2024-07-11,"Tarsalis","L",4,"SW",2024,28
"331","FC-057",2024-07-11,"Pipiens","L",1,"SW",2024,28
"332","FC-062",2024-07-11,"Trap Malfunction","L",0,"SW",2024,28
"333","FC-068",2024-07-11,"Pipiens","L",2,"SW",2024,28
"334","FC-068",2024-07-11,"Tarsalis","L",5,"SW",2024,28
"335","FC-071",2024-07-11,"Tarsalis","L",2,"SW",2024,28
"336","FC-089GR",2024-07-11,"Pipiens","G",23,"SW",2024,28
"337","FC-093",2024-07-11,"Tarsalis","L",19,"SW",2024,28
"338","FC-093",2024-07-11,"Pipiens","L",7,"SW",2024,28
"339","LV-069",2024-07-08,"Tarsalis","L",1,"LV",2024,28
"340","LV-095",2024-07-08,"Pipiens","L",3,"LV",2024,28
"341","LV-095",2024-07-08,"Tarsalis","L",18,"LV",2024,28
"342","LV-089",2024-07-09,"Pipiens","L",13,"LV",2024,28
"343","LV-089",2024-07-09,"Tarsalis","L",84,"LV",2024,28
"344","LV-104",2024-07-09,"Tarsalis","L",48,"LV",2024,28
"345","LV-104",2024-07-09,"Pipiens","L",2,"LV",2024,28
"346","LV-110",2024-07-09,"Tarsalis","L",15,"LV",2024,28
"347","LV-110",2024-07-09,"Pipiens","L",5,"LV",2024,28
"348","LV-020",2024-07-10,"Tarsalis","L",117,"LV",2024,28
"349","LC-001",2024-07-17,"Pipiens","L",31,"BE",2024,29
"350","LC-001",2024-07-17,"Tarsalis","L",188,"BE",2024,29
"351","LC-049",2024-07-17,"Tarsalis","L",78,"BE",2024,29
"352","LC-049",2024-07-17,"Pipiens","L",2,"BE",2024,29
"353","LC-053",2024-07-17,"Tarsalis","L",140,"BE",2024,29
"354","LC-054",2024-07-17,"Tarsalis","L",1,"BE",2024,29
"355","WC-055",2024-07-17,"Tarsalis","L",10,"BE",2024,29
"356","FC-006",2024-07-15,"Pipiens","L",7,"NE",2024,29
"357","FC-006",2024-07-15,"Tarsalis","L",12,"NE",2024,29
"358","FC-014",2024-07-15,"Tarsalis","L",52,"NE",2024,29
"359","FC-014",2024-07-15,"Pipiens","L",6,"NE",2024,29
"360","FC-019",2024-07-15,"Tarsalis","L",29,"NE",2024,29
"361","FC-019",2024-07-15,"Pipiens","L",9,"NE",2024,29
"362","FC-034",2024-07-15,"Tarsalis","L",13,"NE",2024,29
"363","FC-036",2024-07-15,"Tarsalis","L",89,"NW",2024,29
"364","FC-036",2024-07-15,"Pipiens","L",41,"NW",2024,29
"365","FC-038",2024-07-15,"Pipiens","L",2,"NE",2024,29
"366","FC-038",2024-07-15,"Tarsalis","L",42,"NE",2024,29
"367","FC-040",2024-07-15,"Tarsalis","L",9,"NE",2024,29
"368","FC-040",2024-07-15,"Pipiens","L",6,"NE",2024,29
"369","FC-040GR",2024-07-15,"Pipiens","G",105,"NE",2024,29
"370","FC-066",2024-07-15,"Tarsalis","L",110,"NE",2024,29
"371","FC-066",2024-07-15,"Pipiens","L",24,"NE",2024,29
"372","FC-066GR",2024-07-15,"Pipiens","G",30,"NE",2024,29
"373","FC-066GR",2024-07-15,"Tarsalis","G",1,"NE",2024,29
"374","FC-067",2024-07-15,"Tarsalis","L",4,"NE",2024,29
"375","FC-069",2024-07-15,"Trap Malfunction","L",0,"NE",2024,29
"376","FC-072",2024-07-15,"Tarsalis","L",18,"NE",2024,29
"377","FC-072",2024-07-15,"Pipiens","L",13,"NE",2024,29
"378","FC-091GR",2024-07-15,"Pipiens","G",9,"NE",2024,29
"379","FC-092GR",2024-07-15,"Pipiens","G",60,"NE",2024,29
"380","FC-004",2024-07-16,"Pipiens","L",17,"SE",2024,29
"381","FC-004",2024-07-16,"Tarsalis","L",35,"SE",2024,29
"382","FC-023",2024-07-16,"Pipiens","L",3,"SE",2024,29
"383","FC-023",2024-07-16,"Tarsalis","L",10,"SE",2024,29
"384","FC-027",2024-07-16,"Pipiens","L",7,"SE",2024,29
"385","FC-027",2024-07-16,"Tarsalis","L",16,"SE",2024,29
"386","FC-031",2024-07-16,"Tarsalis","L",27,"SE",2024,29
"387","FC-031",2024-07-16,"Pipiens","L",1,"SE",2024,29
"388","FC-039",2024-07-16,"Tarsalis","L",1,"SE",2024,29
"389","FC-046",2024-07-16,"Tarsalis","L",3,"SE",2024,29
