"csu_id","trap_id","zone","zone2","trap_date","year","week","spp","spp0","method","trap_status","total","test_code","cq","copies","seq","notes"
"CSU21913","FC-058","SW","FC",2024-06-19,2024,25,"Tarsalis","Tarsalis","L","culex",1,0,55.55,NA,NA,NA
"CSU21909","FC-060","SW","FC",2024-06-19,2024,25,"Pipiens","Pipiens","L","culex",1,0,55.55,NA,NA,NA
"CSU21906","FC-073","NW","FC",2024-06-19,2024,25,"Pipiens","Pipiens","L","culex",1,0,55.55,NA,NA,NA
"CSU21898","LC-001","BE","BE",2024-06-19,2024,25,"Tarsalis","Tarsalis","L","culex",1,0,55.55,NA,NA,NA
"CSU21899","LC-001","BE","BE",2024-06-19,2024,25,"Pipiens","Pipiens","L","culex",1,0,55.55,NA,NA,NA
"CSU21900","LC-049","BE","BE",2024-06-19,2024,25,"Tarsalis","Tarsalis","L","culex",1,0,55.55,NA,NA,NA
"CDC010","LC-058","BE","BE",2024-06-19,2024,25,"Pipiens","Pipiens","L","culex",1,0,55.55,NA,NA,NA
"CDC014","LC-059","BE","BE",2024-06-19,2024,25,"Pipiens","Pipiens","L","culex",1,0,55.55,NA,NA,NA
"CDC008","LC-060","BE","BE",2024-06-19,2024,25,"Pipiens","Pipiens","L","culex",1,0,55.55,NA,NA,NA
"CDC015","LC-061","BE","BE",2024-06-19,2024,25,"Pipiens","Pipiens","L","culex",1,0,55.55,NA,NA,NA
"CDC012","LC-062","BE","BE",2024-06-19,2024,25,"Tarsalis","Tarsalis","L","culex",1,0,55.55,NA,NA,NA
"CSU21892","FC-023","SE","FC",2024-06-18,2024,25,"Tarsalis","Tarsalis","L","culex",1,0,55.55,NA,NA,NA
"CSU21886","FC-027","SE","FC",2024-06-18,2024,25,"Tarsalis","Tarsalis","L","culex",1,0,55.55,NA,NA,NA
"CSU21887","FC-027","SE","FC",2024-06-18,2024,25,"Pipiens","Pipiens","L","culex",1,0,55.55,NA,NA,NA
"CSU21877","FC-039","SE","FC",2024-06-18,2024,25,"Tarsalis","Tarsalis","L","culex",1,0,55.55,NA,NA,NA
"CSU21889","FC-088GR","SE","FC",2024-06-18,2024,25,"Tarsalis","Tarsalis","G","culex",1,0,55.55,NA,NA,NA
"CSU21875","LV-104","LV","LV",2024-06-18,2024,25,"Pipiens","Pipiens","L","culex",1,0,55.55,NA,NA,NA
"CSU21879","LV-110","LV","LV",2024-06-18,2024,25,"Pipiens","Pipiens","L","culex",1,0,55.55,NA,NA,NA
"CSU21868","FC-067","NE","FC",2024-06-17,2024,25,"Tarsalis","Tarsalis","L","culex",1,0,55.55,NA,NA,NA
"CSU21869","FC-067","NE","FC",2024-06-17,2024,25,"Pipiens","Pipiens","L","culex",1,0,55.55,NA,NA,NA
"CSU21859","FC-069","NE","FC",2024-06-17,2024,25,"Pipiens","Pipiens","L","culex",1,0,55.55,NA,NA,NA
"CSU21865","FC-091GR","NE","FC",2024-06-17,2024,25,"Pipiens","Pipiens","G","culex",1,0,55.55,NA,NA,NA
"CSU21846","FC-029","SE","FC",2024-06-13,2024,24,"Tarsalis","Tarsalis","L","culex",1,0,55.55,NA,NA,NA
"CSU21853","FC-057","SW","FC",2024-06-13,2024,24,"Tarsalis","Tarsalis","L","culex",1,0,55.55,NA,NA,NA
"CSU21850","FC-062","SW","FC",2024-06-13,2024,24,"Tarsalis","Tarsalis","L","culex",1,0,55.55,NA,NA,NA
"CSU21837","FC-049","NW","FC",2024-06-12,2024,24,"Tarsalis","Tarsalis","L","culex",1,0,55.55,NA,NA,NA
"CSU21843","LC-001","BE","BE",2024-06-12,2024,24,"Pipiens","Pipiens","L","culex",1,0,55.55,NA,NA,NA
"CDC004","LC-060","BE","BE",2024-06-12,2024,24,"Tarsalis","Tarsalis","L","culex",1,0,55.55,NA,NA,NA
"CDC002","LC-062","BE","BE",2024-06-12,2024,24,"Tarsalis","Tarsalis","L","culex",1,0,55.55,NA,NA,NA
"CSU21830","FC-023","SE","FC",2024-06-11,2024,24,"Pipiens","Pipiens","L","culex",1,0,55.55,NA,NA,NA
"CSU21821","LV-110","LV","LV",2024-06-11,2024,24,"Pipiens","Pipiens","L","culex",1,0,55.55,NA,NA,NA
"CSU21810","FC-006","NE","FC",2024-06-10,2024,24,"Tarsalis","Tarsalis","L","culex",1,0,55.55,NA,NA,NA
"CSU21806","FC-034","NE","FC",2024-06-10,2024,24,"Tarsalis","Tarsalis","L","culex",1,0,55.55,NA,NA,NA
"CSU21807","FC-038","NE","FC",2024-06-10,2024,24,"Tarsalis","Tarsalis","L","culex",1,0,55.55,NA,NA,NA
"CSU21816","FC-066","NE","FC",2024-06-10,2024,24,"Pipiens","Pipiens","L","culex",1,0,55.55,NA,NA,NA
"CSU21812","FC-091GR","NE","FC",2024-06-10,2024,24,"Pipiens","Pipiens","G","culex",1,0,55.55,NA,NA,NA
"CSU21803","FC-037","SW","FC",2024-06-06,2024,23,"Pipiens","Pipiens","L","culex",1,0,55.55,NA,NA,NA
"CSU21800","FC-057","SW","FC",2024-06-06,2024,23,"Tarsalis","Tarsalis","L","culex",1,0,55.55,NA,NA,NA
"CSU21801","FC-068","SW","FC",2024-06-06,2024,23,"Tarsalis","Tarsalis","L","culex",1,0,55.55,NA,NA,NA
"CSU21804","FC-071","SW","FC",2024-06-06,2024,23,"Tarsalis","Tarsalis","L","culex",1,0,55.55,NA,NA,NA
"CSU21805","FC-089GR","SW","FC",2024-06-06,2024,23,"Pipiens","Pipiens","G","culex",1,0,55.55,NA,NA,NA
"CSU21794","FC-058","SW","FC",2024-06-05,2024,23,"Pipiens","Pipiens","L","culex",1,0,55.55,NA,NA,NA
"CSU21795","FC-060","SW","FC",2024-06-05,2024,23,"Pipiens","Pipiens","L","culex",1,0,55.55,NA,NA,NA
"CSU21793","FC-061","NW","FC",2024-06-05,2024,23,"Pipiens","Pipiens","L","culex",1,0,55.55,NA,NA,NA
"CSU21796","FC-063","NW","FC",2024-06-05,2024,23,"Tarsalis","Tarsalis","L","culex",1,0,55.55,NA,NA,NA
"CSU21788","LC-001","BE","BE",2024-06-05,2024,23,"Tarsalis","Tarsalis","L","culex",1,0,55.55,NA,NA,NA
"CSU21789","LC-001","BE","BE",2024-06-05,2024,23,"Pipiens","Pipiens","L","culex",1,0,55.55,NA,NA,NA
"CSU21787","LC-053","BE","BE",2024-06-05,2024,23,"Tarsalis","Tarsalis","L","culex",1,0,55.55,NA,NA,NA
"CSU21785","LV-020","LV","LV",2024-06-05,2024,23,"Tarsalis","Tarsalis","L","culex",1,0,55.55,NA,NA,NA
"CSU21781","FC-004","SE","FC",2024-06-04,2024,23,"Tarsalis","Tarsalis","L","culex",1,0,55.55,NA,NA,NA
"CSU21779","FC-023","SE","FC",2024-06-04,2024,23,"Tarsalis","Tarsalis","L","culex",1,0,55.55,NA,NA,NA
"CSU21777","FC-047","SE","FC",2024-06-04,2024,23,"Pipiens","Pipiens","L","culex",1,0,55.55,NA,NA,NA
"CSU21774","FC-053","SE","FC",2024-06-04,2024,23,"Tarsalis","Tarsalis","L","culex",1,0,55.55,NA,NA,NA
"CSU21762","FC-036","NW","FC",2024-06-03,2024,23,"Pipiens","Pipiens","L","culex",1,0,55.55,NA,NA,NA
"CSU21767","FC-066","NE","FC",2024-06-03,2024,23,"Pipiens","Pipiens","L","culex",1,0,55.55,NA,NA,NA
"CSU21765","FC-066GR","NE","FC",2024-06-03,2024,23,"Tarsalis","Tarsalis","G","culex",1,0,55.55,NA,NA,NA
"CSU21755","LV-069","LV","LV",2024-06-03,2024,23,"Tarsalis","Tarsalis","L","culex",1,0,55.55,NA,NA,NA
