"","trap_id","trap_date","year","week","zone","spp","method","total"
"38","BC-25",2024-08-26,2024,35,"BC","Tarsalis","L",5
"39","BC-26",2024-08-26,2024,35,"BC","Tarsalis","L",8
"40","BC-26",2024-08-26,2024,35,"BC","Pipiens","L",5
"41","BC-04",2024-07-29,2024,31,"BC","Tarsalis","L",49
"42","BC-10",2024-07-29,2024,31,"BC","Tarsalis","L",49
"43","BC-26",2024-07-29,2024,31,"BC","Tarsalis","L",49
"44","BC-13",2024-07-29,2024,31,"BC","Tarsalis","L",49
"45","BC-14",2024-07-29,2024,31,"BC","Tarsalis","L",49
"46","BC-04",2024-09-03,2024,36,"BC","Tarsalis","L",7
"47","BC-25",2024-09-03,2024,36,"BC","Tarsalis","L",6
"48","BC-25",2024-09-03,2024,36,"BC","Pipiens","L",12
"49","BC-26",2024-09-03,2024,36,"BC","Tarsalis","L",5
"50","BC-13",2024-09-03,2024,36,"BC","Tarsalis","L",6
"51","BC-04",2024-08-05,2024,32,"BC","Tarsalis","L",35
"52","BC-22",2024-08-05,2024,32,"BC","Tarsalis","L",32
"53","BC-26",2024-08-05,2024,32,"BC","Tarsalis","L",29
"54","BC-13",2024-08-05,2024,32,"BC","Tarsalis","L",49
"55","BC-14",2024-08-05,2024,32,"BC","Tarsalis","L",27
"56","BC-03",2024-09-09,2024,37,"BC","Pipiens","L",9
"57","BC-04",2024-09-09,2024,37,"BC","Tarsalis","L",2
"58","BC-04",2024-09-09,2024,37,"BC","Pipiens","L",5
"59","BC-26",2024-09-09,2024,37,"BC","Tarsalis","L",3
"60","BC-26",2024-09-09,2024,37,"BC","Pipiens","L",5
"61","LC-001",2024-06-19,2024,25,"BE","Tarsalis","L",1
"62","LC-001",2024-06-19,2024,25,"BE","Pipiens","L",1
"63","LC-049",2024-06-19,2024,25,"BE","Tarsalis","L",1
"64","LC-054",2024-06-19,2024,25,"BE","Tarsalis","L",4
"65","FC-006",2024-06-17,2024,25,"NE","Pipiens","L",2
"66","FC-014",2024-06-17,2024,25,"NE","Tarsalis","L",8
"67","FC-034",2024-06-17,2024,25,"NE","Tarsalis","L",13
"68","FC-036",2024-06-17,2024,25,"NW","Pipiens","L",3
"69","FC-036",2024-06-17,2024,25,"NW","Tarsalis","L",21
"70","FC-038",2024-06-17,2024,25,"NE","Tarsalis","L",25
"71","FC-040",2024-06-17,2024,25,"NE","Pipiens","L",2
"72","FC-040",2024-06-17,2024,25,"NE","Tarsalis","L",12
"73","FC-066",2024-06-17,2024,25,"NE","Tarsalis","L",47
"74","FC-066",2024-06-17,2024,25,"NE","Pipiens","L",8
"75","FC-067",2024-06-17,2024,25,"NE","Pipiens","L",1
"76","FC-067",2024-06-17,2024,25,"NE","Tarsalis","L",1
"77","FC-069",2024-06-17,2024,25,"NE","Pipiens","L",1
"78","FC-069",2024-06-17,2024,25,"NE","Tarsalis","L",6
"79","FC-072",2024-06-17,2024,25,"NE","Tarsalis","L",8
"80","FC-004",2024-06-18,2024,25,"SE","Tarsalis","L",7
"81","FC-023",2024-06-18,2024,25,"SE","Tarsalis","L",1
"82","FC-027",2024-06-18,2024,25,"SE","Pipiens","L",1
"83","FC-027",2024-06-18,2024,25,"SE","Tarsalis","L",1
"84","FC-031",2024-06-18,2024,25,"SE","Tarsalis","L",18
"85","FC-039",2024-06-18,2024,25,"SE","Tarsalis","L",1
"86","FC-046",2024-06-18,2024,25,"SE","Tarsalis","L",4
"87","FC-047",2024-06-18,2024,25,"SE","Tarsalis","L",8
"88","FC-050",2024-06-18,2024,25,"SE","Tarsalis","L",4
"89","FC-053",2024-06-18,2024,25,"SE","Tarsalis","L",20
"90","FC-059",2024-06-18,2024,25,"SE","Tarsalis","L",3
"91","FC-064",2024-06-18,2024,25,"SE","Tarsalis","L",12
"92","FC-074",2024-06-18,2024,25,"SE","Tarsalis","L",13
"93","FC-075",2024-06-18,2024,25,"SE","Tarsalis","L",2
"94","FC-011",2024-06-19,2024,25,"NW","Tarsalis","L",2
"95","FC-041",2024-06-19,2024,25,"NW","Pipiens","L",3
"96","FC-052",2024-06-19,2024,25,"NW","Pipiens","L",1
"97","FC-052",2024-06-19,2024,25,"NW","Tarsalis","L",6
"98","FC-058",2024-06-19,2024,25,"SW","Tarsalis","L",1
"99","FC-060",2024-06-19,2024,25,"NW","Pipiens","L",1
"100","FC-061",2024-06-19,2024,25,"NW","Pipiens","L",10
"101","FC-061",2024-06-19,2024,25,"NW","Tarsalis","L",2
"102","FC-073",2024-06-19,2024,25,"NW","Tarsalis","L",3
"103","FC-073",2024-06-19,2024,25,"NW","Pipiens","L",1
"104","FC-001",2024-06-20,2024,25,"SW","Tarsalis","L",3
"105","FC-037",2024-06-20,2024,25,"SW","Tarsalis","L",6
"106","FC-037",2024-06-20,2024,25,"SW","Pipiens","L",4
"107","FC-054",2024-06-20,2024,25,"SE","Tarsalis","L",2
"108","FC-093",2024-06-20,2024,25,"SW","Tarsalis","L",1
"109","LV-069",2024-06-17,2024,25,"LV","Tarsalis","L",2
"110","LV-078",2024-06-17,2024,25,"LV","Tarsalis","L",11
"111","LV-095",2024-06-17,2024,25,"LV","Tarsalis","L",12
"112","LV-116",2024-06-17,2024,25,"LV","Pipiens","L",1
"113","LV-117",2024-06-17,2024,25,"LV","Tarsalis","L",3
"114","LV-117",2024-06-17,2024,25,"LV","Pipiens","L",1
"115","LV-074",2024-06-18,2024,25,"LV","Tarsalis","L",5
"116","LV-089",2024-06-18,2024,25,"LV","Tarsalis","L",5
"117","LV-100",2024-06-18,2024,25,"LV","Tarsalis","L",1
"118","LV-104",2024-06-18,2024,25,"LV","Pipiens","L",1
"119","LV-104",2024-06-18,2024,25,"LV","Tarsalis","L",9
"120","LV-110",2024-06-18,2024,25,"LV","Tarsalis","L",13
"121","LV-110",2024-06-18,2024,25,"LV","Pipiens","L",1
"122","LV-112",2024-06-18,2024,25,"LV","Tarsalis","L",16
"123","LV-113",2024-06-18,2024,25,"LV","Tarsalis","L",4
"124","LV-118",2024-06-18,2024,25,"LV","Tarsalis","L",2
"125","LV-118",2024-06-18,2024,25,"LV","Pipiens","L",3
"126","LV-124",2024-06-18,2024,25,"LV","Tarsalis","L",9
"127","LV-125",2024-06-18,2024,25,"LV","Tarsalis","L",6
"128","LV-125",2024-06-18,2024,25,"LV","Pipiens","L",2
"129","LV-020",2024-06-19,2024,25,"LV","Tarsalis","L",57
"130","LV-087",2024-06-19,2024,25,"LV","Tarsalis","L",3
"131","LV-114",2024-06-19,2024,25,"LV","Tarsalis","L",25
"132","LV-114",2024-06-19,2024,25,"LV","Pipiens","L",1
"133","LV-120",2024-06-19,2024,25,"LV","Tarsalis","L",2
"134","LV-122",2024-06-20,2024,25,"LV","Pipiens","L",1
"135","LC-001",2024-06-26,2024,26,"BE","Pipiens","L",3
"136","LC-001",2024-06-26,2024,26,"BE","Tarsalis","L",16
"137","LC-049",2024-06-26,2024,26,"BE","Tarsalis","L",8
"138","LC-053",2024-06-26,2024,26,"BE","Pipiens","L",2
"139","LC-053",2024-06-26,2024,26,"BE","Tarsalis","L",42
"140","LC-054",2024-06-26,2024,26,"BE","Pipiens","L",2
"141","LC-054",2024-06-26,2024,26,"BE","Tarsalis","L",58
"142","WC-055",2024-06-26,2024,26,"BE","Tarsalis","L",1
"143","FC-006",2024-06-24,2024,26,"NE","Pipiens","L",1
"144","FC-006",2024-06-24,2024,26,"NE","Tarsalis","L",5
"145","FC-014",2024-06-24,2024,26,"NE","Tarsalis","L",19
"146","FC-019",2024-06-24,2024,26,"NE","Tarsalis","L",6
"147","FC-034",2024-06-24,2024,26,"NE","Pipiens","L",1
"148","FC-034",2024-06-24,2024,26,"NE","Tarsalis","L",24
"149","FC-036",2024-06-24,2024,26,"NW","Pipiens","L",7
"150","FC-036",2024-06-24,2024,26,"NW","Tarsalis","L",21
"151","FC-038",2024-06-24,2024,26,"NE","Tarsalis","L",94
"152","FC-038",2024-06-24,2024,26,"NE","Pipiens","L",10
"153","FC-040",2024-06-24,2024,26,"NE","Pipiens","L",3
"154","FC-040",2024-06-24,2024,26,"NE","Tarsalis","L",29
"155","FC-066",2024-06-24,2024,26,"NE","Tarsalis","L",59
"156","FC-066",2024-06-24,2024,26,"NE","Pipiens","L",8
"157","FC-067",2024-06-24,2024,26,"NE","Tarsalis","L",3
"158","FC-069",2024-06-24,2024,26,"NE","Tarsalis","L",12
"159","FC-072",2024-06-24,2024,26,"NE","Tarsalis","L",13
"160","FC-072",2024-06-24,2024,26,"NE","Pipiens","L",3
"161","FC-004",2024-06-25,2024,26,"SE","Pipiens","L",8
"162","FC-004",2024-06-25,2024,26,"SE","Tarsalis","L",41
"163","FC-023",2024-06-25,2024,26,"SE","Tarsalis","L",2
"164","FC-023",2024-06-25,2024,26,"SE","Pipiens","L",1
"165","FC-027",2024-06-25,2024,26,"SE","Tarsalis","L",3
"166","FC-027",2024-06-25,2024,26,"SE","Pipiens","L",2
"167","FC-031",2024-06-25,2024,26,"SE","Tarsalis","L",17
"168","FC-039",2024-06-25,2024,26,"SE","Tarsalis","L",3
"169","FC-046",2024-06-25,2024,26,"SE","Tarsalis","L",6
"170","FC-046",2024-06-25,2024,26,"SE","Pipiens","L",1
"171","FC-047",2024-06-25,2024,26,"SE","Tarsalis","L",7
"172","FC-050",2024-06-25,2024,26,"SE","Pipiens","L",3
"173","FC-050",2024-06-25,2024,26,"SE","Tarsalis","L",2
"174","FC-053",2024-06-25,2024,26,"SE","Tarsalis","L",29
"175","FC-059",2024-06-25,2024,26,"SE","Tarsalis","L",2
"176","FC-064",2024-06-25,2024,26,"SE","Tarsalis","L",52
"177","FC-064",2024-06-25,2024,26,"SE","Pipiens","L",6
"178","FC-074",2024-06-25,2024,26,"SE","Pipiens","L",1
"179","FC-074",2024-06-25,2024,26,"SE","Tarsalis","L",38
"180","FC-075",2024-06-25,2024,26,"SE","Tarsalis","L",3
"181","FC-011",2024-06-26,2024,26,"NW","Pipiens","L",8
"182","FC-015",2024-06-26,2024,26,"NW","Pipiens","L",3
"183","FC-015",2024-06-26,2024,26,"NW","Tarsalis","L",1
"184","FC-041",2024-06-26,2024,26,"NW","Trap Malfunction","L",0
"185","FC-052",2024-06-26,2024,26,"NW","Tarsalis","L",7
"186","FC-052",2024-06-26,2024,26,"NW","Pipiens","L",1
"187","FC-058",2024-06-26,2024,26,"SW","Pipiens","L",1
"188","FC-060",2024-06-26,2024,26,"NW","Tarsalis","L",1
"189","FC-060",2024-06-26,2024,26,"NW","Pipiens","L",3
"190","FC-061",2024-06-26,2024,26,"NW","Tarsalis","L",10
"191","FC-061",2024-06-26,2024,26,"NW","Pipiens","L",6
"192","FC-063",2024-06-26,2024,26,"NW","Tarsalis","L",1
"193","FC-073",2024-06-26,2024,26,"NW","Tarsalis","L",2
"194","FC-073",2024-06-26,2024,26,"NW","Pipiens","L",1
"195","FC-001",2024-06-27,2024,26,"SW","Pipiens","L",1
"196","FC-001",2024-06-27,2024,26,"SW","Tarsalis","L",3
"197","FC-029",2024-06-27,2024,26,"SE","Tarsalis","L",4
"198","FC-037",2024-06-27,2024,26,"SW","Tarsalis","L",7
"199","FC-037",2024-06-27,2024,26,"SW","Pipiens","L",1
"200","FC-054",2024-06-27,2024,26,"SE","Tarsalis","L",3
"201","FC-062",2024-06-27,2024,26,"SW","Tarsalis","L",1
"202","FC-068",2024-06-27,2024,26,"SW","Pipiens","L",1
"203","FC-068",2024-06-27,2024,26,"SW","Tarsalis","L",2
"204","FC-071",2024-06-27,2024,26,"SW","Pipiens","L",1
"205","FC-071",2024-06-27,2024,26,"SW","Tarsalis","L",2
"206","FC-093",2024-06-27,2024,26,"SW","Pipiens","L",1
"207","FC-093",2024-06-27,2024,26,"SW","Tarsalis","L",2
"208","LV-069",2024-06-24,2024,26,"LV","Tarsalis","L",3
"209","LV-078",2024-06-24,2024,26,"LV","Tarsalis","L",8
"210","LV-095",2024-06-24,2024,26,"LV","Tarsalis","L",16
"211","LV-116",2024-06-24,2024,26,"LV","Pipiens","L",2
"212","LV-116",2024-06-24,2024,26,"LV","Tarsalis","L",2
"213","LV-117",2024-06-24,2024,26,"LV","Tarsalis","L",20
"214","LV-074",2024-06-25,2024,26,"LV","Tarsalis","L",15
"215","LV-074",2024-06-25,2024,26,"LV","Pipiens","L",1
"216","LV-089",2024-06-25,2024,26,"LV","Pipiens","L",2
"217","LV-089",2024-06-25,2024,26,"LV","Tarsalis","L",60
"218","LV-100",2024-06-25,2024,26,"LV","Tarsalis","L",3
"219","LV-104",2024-06-25,2024,26,"LV","Tarsalis","L",45
"220","LV-104",2024-06-25,2024,26,"LV","Pipiens","L",6
"221","LV-110",2024-06-25,2024,26,"LV","Tarsalis","L",8
"222","LV-112",2024-06-25,2024,26,"LV","Pipiens","L",3
"223","LV-112",2024-06-25,2024,26,"LV","Tarsalis","L",23
"224","LV-113",2024-06-25,2024,26,"LV","Tarsalis","L",4
"225","LV-118",2024-06-25,2024,26,"LV","Tarsalis","L",5
"226","LV-118",2024-06-25,2024,26,"LV","Pipiens","L",1
"227","LV-124",2024-06-25,2024,26,"LV","Tarsalis","L",18
"228","LV-125",2024-06-25,2024,26,"LV","Pipiens","L",2
"229","LV-125",2024-06-25,2024,26,"LV","Tarsalis","L",13
"230","LV-020",2024-06-26,2024,26,"LV","Tarsalis","L",66
"231","LV-087",2024-06-26,2024,26,"LV","Tarsalis","L",10
"232","LV-087",2024-06-26,2024,26,"LV","Pipiens","L",1
"233","LV-114",2024-06-26,2024,26,"LV","Tarsalis","L",50
"234","LV-120",2024-06-26,2024,26,"LV","Tarsalis","L",12
"235","LV-120",2024-06-26,2024,26,"LV","Pipiens","L",1
"236","LV-102",2024-06-27,2024,26,"LV","Tarsalis","L",2
"237","LV-102",2024-06-27,2024,26,"LV","Pipiens","L",5
"238","LV-105",2024-06-27,2024,26,"LV","Tarsalis","L",2
"239","LV-122",2024-06-27,2024,26,"LV","Pipiens","L",2
"240","LC-001",2024-07-03,2024,27,"BE","Tarsalis","L",42
"241","LC-001",2024-07-03,2024,27,"BE","Pipiens","L",14
"242","LC-049",2024-07-03,2024,27,"BE","Pipiens","L",1
"243","LC-049",2024-07-03,2024,27,"BE","Tarsalis","L",6
"244","LC-053",2024-07-03,2024,27,"BE","Tarsalis","L",55
"245","LC-054",2024-07-03,2024,27,"BE","Tarsalis","L",44
"246","LC-054",2024-07-03,2024,27,"BE","Pipiens","L",1
"247","WC-055",2024-07-03,2024,27,"BE","Tarsalis","L",2
"248","FC-006",2024-07-01,2024,27,"NE","Pipiens","L",1
"249","FC-014",2024-07-01,2024,27,"NE","Tarsalis","L",11
"250","FC-019",2024-07-01,2024,27,"NE","Tarsalis","L",5
"251","FC-019",2024-07-01,2024,27,"NE","Pipiens","L",5
"252","FC-034",2024-07-01,2024,27,"NE","Tarsalis","L",23
"253","FC-036",2024-07-01,2024,27,"NW","Pipiens","L",15
"254","FC-036",2024-07-01,2024,27,"NW","Tarsalis","L",18
"255","FC-038",2024-07-01,2024,27,"NE","Tarsalis","L",31
"256","FC-040",2024-07-01,2024,27,"NE","Tarsalis","L",15
"257","FC-040",2024-07-01,2024,27,"NE","Pipiens","L",3
"258","FC-066",2024-07-01,2024,27,"NE","Pipiens","L",12
"259","FC-066",2024-07-01,2024,27,"NE","Tarsalis","L",47
"260","FC-067",2024-07-01,2024,27,"NE","Tarsalis","L",1
"261","FC-069",2024-07-01,2024,27,"NE","Tarsalis","L",17
"262","FC-069",2024-07-01,2024,27,"NE","Pipiens","L",1
"263","FC-072",2024-07-01,2024,27,"NE","Pipiens","L",14
"264","FC-072",2024-07-01,2024,27,"NE","Tarsalis","L",17
"265","FC-004",2024-07-02,2024,27,"SE","Tarsalis","L",14
"266","FC-004",2024-07-02,2024,27,"SE","Pipiens","L",3
"267","FC-011",2024-07-02,2024,27,"NW","Tarsalis","L",2
"268","FC-011",2024-07-02,2024,27,"NW","Pipiens","L",4
"269","FC-015",2024-07-02,2024,27,"NW","Tarsalis","L",1
"270","FC-015",2024-07-02,2024,27,"NW","Pipiens","L",1
"271","FC-023",2024-07-02,2024,27,"SE","Pipiens","L",3
"272","FC-023",2024-07-02,2024,27,"SE","Tarsalis","L",5
"273","FC-027",2024-07-02,2024,27,"SE","Tarsalis","L",12
"274","FC-027",2024-07-02,2024,27,"SE","Pipiens","L",1
"275","FC-031",2024-07-02,2024,27,"SE","Pipiens","L",4
"276","FC-031",2024-07-02,2024,27,"SE","Tarsalis","L",11
"277","FC-039",2024-07-02,2024,27,"SE","Tarsalis","L",30
"278","FC-041",2024-07-02,2024,27,"NW","Tarsalis","L",1
"279","FC-041",2024-07-02,2024,27,"NW","Pipiens","L",1
"280","FC-046",2024-07-02,2024,27,"SE","Tarsalis","L",5
"281","FC-046",2024-07-02,2024,27,"SE","Pipiens","L",1
"282","FC-047",2024-07-02,2024,27,"SE","Tarsalis","L",6
"283","FC-047",2024-07-02,2024,27,"SE","Pipiens","L",1
"284","FC-049",2024-07-02,2024,27,"SW","Pipiens","L",2
"285","FC-050",2024-07-02,2024,27,"SE","Tarsalis","L",3
"286","FC-052",2024-07-02,2024,27,"NW","Tarsalis","L",1
"287","FC-052",2024-07-02,2024,27,"NW","Pipiens","L",1
"288","FC-053",2024-07-02,2024,27,"SE","Tarsalis","L",11
"289","FC-060",2024-07-02,2024,27,"NW","Tarsalis","L",1
"290","FC-061",2024-07-02,2024,27,"NW","Tarsalis","L",7
"291","FC-061",2024-07-02,2024,27,"NW","Pipiens","L",5
"292","FC-064",2024-07-02,2024,27,"SE","Pipiens","L",3
"293","FC-064",2024-07-02,2024,27,"SE","Tarsalis","L",15
"294","FC-073",2024-07-02,2024,27,"NW","Pipiens","L",3
"295","FC-074",2024-07-02,2024,27,"SE","Tarsalis","L",4
"296","FC-075",2024-07-02,2024,27,"SE","Tarsalis","L",2
"297","FC-075",2024-07-02,2024,27,"SE","Pipiens","L",3
"298","FC-029",2024-07-03,2024,27,"SE","Tarsalis","L",4
"299","FC-029",2024-07-03,2024,27,"SE","Pipiens","L",2
"300","FC-037",2024-07-03,2024,27,"SW","Pipiens","L",1
"301","FC-037",2024-07-03,2024,27,"SW","Tarsalis","L",5
"302","FC-054",2024-07-03,2024,27,"SE","Tarsalis","L",5
"303","FC-057",2024-07-03,2024,27,"SW","Tarsalis","L",3
"304","FC-062",2024-07-03,2024,27,"SW","Pipiens","L",4
"305","FC-068",2024-07-03,2024,27,"SW","Tarsalis","L",1
"306","FC-071",2024-07-03,2024,27,"SW","Pipiens","L",1
"307","FC-093",2024-07-03,2024,27,"SW","Tarsalis","L",1
"308","LV-069",2024-07-01,2024,27,"LV","Tarsalis","L",1
"309","LV-078",2024-07-01,2024,27,"LV","Tarsalis","L",3
"310","LV-095",2024-07-01,2024,27,"LV","Tarsalis","L",18
"311","LV-116",2024-07-01,2024,27,"LV","Pipiens","L",4
"312","LV-116",2024-07-01,2024,27,"LV","Tarsalis","L",1
"313","LV-117",2024-07-01,2024,27,"LV","Trap Malfunction","L",0
"314","LV-074",2024-07-02,2024,27,"LV","Pipiens","L",2
"315","LV-074",2024-07-02,2024,27,"LV","Tarsalis","L",9
"316","LV-089",2024-07-02,2024,27,"LV","Tarsalis","L",70
"317","LV-104",2024-07-02,2024,27,"LV","Pipiens","L",4
"318","LV-104",2024-07-02,2024,27,"LV","Tarsalis","L",34
"319","LV-110",2024-07-02,2024,27,"LV","Pipiens","L",3
"320","LV-110",2024-07-02,2024,27,"LV","Tarsalis","L",13
"321","LV-112",2024-07-02,2024,27,"LV","Pipiens","L",7
"322","LV-112",2024-07-02,2024,27,"LV","Tarsalis","L",69
"323","LV-113",2024-07-02,2024,27,"LV","Tarsalis","L",6
"324","LV-118",2024-07-02,2024,27,"LV","Pipiens","L",3
"325","LV-118",2024-07-02,2024,27,"LV","Tarsalis","L",7
"326","LV-124",2024-07-02,2024,27,"LV","Tarsalis","L",13
"327","LV-124",2024-07-02,2024,27,"LV","Pipiens","L",1
"328","LV-125",2024-07-02,2024,27,"LV","Pipiens","L",1
"329","LV-125",2024-07-02,2024,27,"LV","Tarsalis","L",4
"330","LV-020",2024-07-03,2024,27,"LV","Tarsalis","L",47
"331","LV-087",2024-07-03,2024,27,"LV","Tarsalis","L",39
"332","LV-087",2024-07-03,2024,27,"LV","Pipiens","L",3
"333","LV-114",2024-07-03,2024,27,"LV","Tarsalis","L",53
"334","LV-114",2024-07-03,2024,27,"LV","Pipiens","L",1
"335","LV-120",2024-07-03,2024,27,"LV","Tarsalis","L",36
"336","LV-120",2024-07-03,2024,27,"LV","Pipiens","L",1
"337","LC-001",2024-07-10,2024,28,"BE","Tarsalis","L",44
"338","LC-001",2024-07-10,2024,28,"BE","Pipiens","L",7
"339","LC-049",2024-07-10,2024,28,"BE","Tarsalis","L",41
"340","LC-053",2024-07-10,2024,28,"BE","Tarsalis","L",12
"341","LC-054",2024-07-10,2024,28,"BE","Pipiens","L",1
"342","LC-054",2024-07-10,2024,28,"BE","Tarsalis","L",72
"343","WC-055",2024-07-10,2024,28,"BE","Tarsalis","L",5
"344","FC-006",2024-07-08,2024,28,"NE","Tarsalis","L",1
"345","FC-014",2024-07-08,2024,28,"NE","Tarsalis","L",30
"346","FC-014",2024-07-08,2024,28,"NE","Pipiens","L",5
"347","FC-019",2024-07-08,2024,28,"NE","Pipiens","L",21
"348","FC-019",2024-07-08,2024,28,"NE","Tarsalis","L",22
"349","FC-034",2024-07-08,2024,28,"NE","Tarsalis","L",8
"350","FC-036",2024-07-08,2024,28,"NW","Tarsalis","L",14
"351","FC-036",2024-07-08,2024,28,"NW","Pipiens","L",10
"352","FC-038",2024-07-08,2024,28,"NE","Tarsalis","L",14
"353","FC-040",2024-07-08,2024,28,"NE","Tarsalis","L",23
"354","FC-040",2024-07-08,2024,28,"NE","Pipiens","L",5
"355","FC-066",2024-07-08,2024,28,"NE","Tarsalis","L",25
"356","FC-066",2024-07-08,2024,28,"NE","Pipiens","L",12
"357","FC-067",2024-07-08,2024,28,"NE","Tarsalis","L",1
"358","FC-069",2024-07-08,2024,28,"NE","Tarsalis","L",2
"359","FC-069",2024-07-08,2024,28,"NE","Pipiens","L",2
"360","FC-072",2024-07-08,2024,28,"NE","Tarsalis","L",19
"361","FC-072",2024-07-08,2024,28,"NE","Pipiens","L",15
"362","FC-004",2024-07-09,2024,28,"SE","Pipiens","L",11
"363","FC-004",2024-07-09,2024,28,"SE","Tarsalis","L",33
"364","FC-023",2024-07-09,2024,28,"SE","Tarsalis","L",7
"365","FC-023",2024-07-09,2024,28,"SE","Pipiens","L",1
"366","FC-027",2024-07-09,2024,28,"SE","Pipiens","L",19
"367","FC-027",2024-07-09,2024,28,"SE","Tarsalis","L",6
"368","FC-031",2024-07-09,2024,28,"SE","Pipiens","L",3
"369","FC-031",2024-07-09,2024,28,"SE","Tarsalis","L",97
"370","FC-039",2024-07-09,2024,28,"SE","Tarsalis","L",7
"371","FC-046",2024-07-09,2024,28,"SE","Pipiens","L",9
"372","FC-046",2024-07-09,2024,28,"SE","Tarsalis","L",16
"373","FC-047",2024-07-09,2024,28,"SE","Pipiens","L",2
"374","FC-047",2024-07-09,2024,28,"SE","Tarsalis","L",11
"375","FC-050",2024-07-09,2024,28,"SE","Tarsalis","L",3
"376","FC-050",2024-07-09,2024,28,"SE","Pipiens","L",6
"377","FC-053",2024-07-09,2024,28,"SE","Tarsalis","L",4
"378","FC-059",2024-07-09,2024,28,"SE","No Mosquitoes","L",0
"379","FC-064",2024-07-09,2024,28,"SE","Tarsalis","L",47
"380","FC-064",2024-07-09,2024,28,"SE","Pipiens","L",20
"381","FC-074",2024-07-09,2024,28,"SE","Pipiens","L",2
"382","FC-074",2024-07-09,2024,28,"SE","Tarsalis","L",58
"383","FC-075",2024-07-09,2024,28,"SE","Pipiens","L",6
"384","FC-075",2024-07-09,2024,28,"SE","Tarsalis","L",7
"385","FC-011",2024-07-10,2024,28,"NW","Pipiens","L",9
"386","FC-011",2024-07-10,2024,28,"NW","Tarsalis","L",2
"387","FC-015",2024-07-10,2024,28,"NW","Pipiens","L",2
"388","FC-041",2024-07-10,2024,28,"NW","Tarsalis","L",4
"389","FC-041",2024-07-10,2024,28,"NW","Pipiens","L",13
"390","FC-049",2024-07-10,2024,28,"SW","Pipiens","L",13
"391","FC-049",2024-07-10,2024,28,"SW","Tarsalis","L",13
"392","FC-052",2024-07-10,2024,28,"NW","Pipiens","L",4
"393","FC-052",2024-07-10,2024,28,"NW","Tarsalis","L",2
"394","FC-058",2024-07-10,2024,28,"SW","Tarsalis","L",1
"395","FC-058",2024-07-10,2024,28,"SW","Pipiens","L",2
"396","FC-060",2024-07-10,2024,28,"NW","Tarsalis","L",5
"397","FC-060",2024-07-10,2024,28,"NW","Pipiens","L",10
"398","FC-061",2024-07-10,2024,28,"NW","Pipiens","L",24
"399","FC-061",2024-07-10,2024,28,"NW","Tarsalis","L",49
"400","FC-063",2024-07-10,2024,28,"NW","Pipiens","L",3
"401","FC-063",2024-07-10,2024,28,"NW","Tarsalis","L",3
"402","FC-073",2024-07-10,2024,28,"NW","Pipiens","L",4
