date_trap_set,contract,location,zone,mosquito_species,mosquito_count,trap_type,trap_name,trap_team
7/23/2024,Fort Collins,Fossil Creek South,SE,Culex tarsalis,8,CDC Light Trap,FC-039,
7/23/2024,Fort Collins,Westshore Ct,SE,Culex tarsalis,17,CDC Light Trap,FC-046,
7/23/2024,Fort Collins,Westshore Ct,SE,Culex pipiens,7,CDC Light Trap,FC-046,
7/23/2024,Fort Collins,Keeneland And Twin Oak,SE,Culex tarsalis,41,CDC Light Trap,FC-047,
7/23/2024,Fort Collins,Keeneland And Twin Oak,SE,Culex pipiens,13,CDC Light Trap,FC-047,
7/23/2024,Fort Collins,Golden Meadows Ditch,SE,Culex tarsalis,8,CDC Light Trap,FC-050,
7/23/2024,Fort Collins,Golden Meadows Ditch,SE,Culex pipiens,10,CDC Light Trap,FC-050,
7/23/2024,Fort Collins,Egret and Rookery,SE,Culex tarsalis,12,CDC Light Trap,FC-053,
7/23/2024,Fort Collins,Springwood and Lochwood,SE,Culex pipiens,2,CDC Light Trap,FC-059,
7/23/2024,Fort Collins,Springwood and Lochwood,SE,Culex tarsalis,2,CDC Light Trap,FC-059,
7/23/2024,Fort Collins,West Chase,SE,Culex pipiens,7,CDC Light Trap,FC-064,
7/23/2024,Fort Collins,West Chase,SE,Culex tarsalis,11,CDC Light Trap,FC-064,
7/23/2024,Fort Collins,Rock Creek,SE,Culex tarsalis,17,CDC Light Trap,FC-074,
7/23/2024,Fort Collins,Rock Creek,SE,Culex pipiens,1,CDC Light Trap,FC-074,
7/23/2024,Fort Collins,Sage Creek North,SE,Culex tarsalis,5,CDC Light Trap,FC-075,
7/23/2024,Fort Collins,Sage Creek North,SE,Culex pipiens,5,CDC Light Trap,FC-075,
7/23/2024,Fort Collins,Sage Creek North Gravid,SE,Culex pipiens,9,Gravid Trap,FC-075gr,
7/23/2024,Fort Collins,English Ranch Park Gravid,SE,Culex pipiens,105,Gravid Trap,FC-088gr,
7/24/2024,Fort Collins,Golden Current,NW,Culex tarsalis,1,CDC Light Trap,FC-011,
7/24/2024,Fort Collins,Golden Current,NW,Culex pipiens,2,CDC Light Trap,FC-011,
7/24/2024,Fort Collins,Stuart and Dorset,NW,Culex tarsalis,3,CDC Light Trap,FC-015,
7/24/2024,Fort Collins,Stuart and Dorset,NW,Culex pipiens,2,CDC Light Trap,FC-015,
7/24/2024,Fort Collins,Fishback,NW,Culex pipiens,15,CDC Light Trap,FC-041,
7/24/2024,Fort Collins,Fishback,NW,Culex tarsalis,12,CDC Light Trap,FC-041,
7/24/2024,Fort Collins,Casa Grande and Downing,SW,Culex tarsalis,7,CDC Light Trap,FC-049,
7/24/2024,Fort Collins,Casa Grande and Downing,SW,Culex pipiens,25,CDC Light Trap,FC-049,
7/24/2024,Fort Collins,603 Gilgalad Way,NW,Culex pipiens,2,CDC Light Trap,FC-052,
7/24/2024,Fort Collins,603 Gilgalad Way,NW,Culex tarsalis,2,CDC Light Trap,FC-052,
7/24/2024,Fort Collins,Spring Creek Trail-- Michener Dr,SW,Culex tarsalis,6,CDC Light Trap,FC-058,
7/24/2024,Fort Collins,Spring Creek Trail-- Michener Dr,SW,Culex pipiens,8,CDC Light Trap,FC-058,
7/24/2024,Fort Collins,808 Ponderosa,NW,Culex tarsalis,8,CDC Light Trap,FC-060,
7/24/2024,Fort Collins,808 Ponderosa,NW,Culex pipiens,4,CDC Light Trap,FC-060,
7/24/2024,Fort Collins,Holley Plant Research Center,NW,Culex pipiens,82,CDC Light Trap,FC-061,
7/24/2024,Fort Collins,Holley Plant Research Center,NW,Culex tarsalis,18,CDC Light Trap,FC-061,
7/24/2024,Fort Collins,Red Fox Meadows,NW,Culex pipiens,2,CDC Light Trap,FC-063,
7/24/2024,Fort Collins,Red Fox Meadows Gravid,NW,Culex pipiens,28,Gravid Trap,FC-063gr,
7/24/2024,Fort Collins,118 S Grant ,NW,Culex tarsalis,8,CDC Light Trap,FC-073,
7/24/2024,Fort Collins,118 S Grant ,NW,Culex pipiens,25,CDC Light Trap,FC-073,
7/24/2024,Fort Collins,Mountain Grandview Cemetery Gravid,NW,Culex pipiens,89,Gravid Trap,FC-090gr,
7/25/2024,Fort Collins,Magic Carpet,SW,Culex tarsalis,4,CDC Light Trap,FC-001,
7/25/2024,Fort Collins,Ben's Park,SE,Culex pipiens,2,CDC Light Trap,FC-029,
7/25/2024,Fort Collins,Ben's Park,SE,Culex tarsalis,10,CDC Light Trap,FC-029,
7/25/2024,Fort Collins,Ben's Park Gravid,SE,Culex pipiens,14,Gravid Trap,FC-029gr,
7/25/2024,Fort Collins,Chelsea Ridge,SW,Culex tarsalis,2,CDC Light Trap,FC-037,
7/25/2024,Fort Collins,Chelsea Ridge,SW,Culex pipiens,1,CDC Light Trap,FC-037,
7/25/2024,Fort Collins,737 Parliament,SE,Culex tarsalis,3,CDC Light Trap,FC-054,
7/25/2024,Fort Collins,Registry Ridge,SW,Culex tarsalis,4,CDC Light Trap,FC-057,
7/25/2024,Fort Collins,Water's Edge at Blue Mesa,SW,Culex pipiens,7,CDC Light Trap,FC-062,
7/25/2024,Fort Collins,Water's Edge at Blue Mesa,SW,Culex tarsalis,6,CDC Light Trap,FC-062,
7/25/2024,Fort Collins,5029 Crest Dr,SW,No Mosquitoes,0,CDC Light Trap,FC-068,
7/25/2024,Fort Collins,Silvergate Rd,SW,Culex pipiens,2,CDC Light Trap,FC-071,
7/25/2024,Fort Collins,Kunz Ct. and Brook Dr. Gravid,SW,Culex pipiens,38,Gravid Trap,FC-089gr,
7/25/2024,Fort Collins,Lopez Elementary,SW,Culex tarsalis,2,CDC Light Trap,FC-093,
7/25/2024,Fort Collins,Lopez Elementary,SW,Culex pipiens,5,CDC Light Trap,FC-093,
7/22/2024,Loveland,29th and Madison,LV,Culex tarsalis,37,CDC Light Trap,LV-004,
7/22/2024,Loveland,29th and Madison,LV,Culex pipiens,12,CDC Light Trap,LV-004,
7/22/2024,Loveland,Outlet Mall Apartments,LV,Culex tarsalis,12,CDC Light Trap,LV-066,
7/22/2024,Loveland,7 Lakes Gravid,LV,Culex tarsalis,1,Gravid Trap,LV-079gr,
7/22/2024,Loveland,7 Lakes Gravid,LV,Culex pipiens,33,Gravid Trap,LV-079gr,
7/22/2024,Loveland,Harding and Reagan,LV,Culex pipiens,8,CDC Light Trap,LV-080,
7/22/2024,Loveland,Harding and Reagan,LV,Culex tarsalis,19,CDC Light Trap,LV-080,
7/22/2024,Loveland,2229 Arikaree,LV,Culex tarsalis,18,CDC Light Trap,LV-088,
7/22/2024,Loveland,2229 Arikaree,LV,Culex pipiens,5,CDC Light Trap,LV-088,
7/22/2024,Loveland,Pond at Silver Lake,LV,Culex pipiens,4,CDC Light Trap,LV-093,
7/22/2024,Loveland,Pond at Silver Lake,LV,Culex tarsalis,9,CDC Light Trap,LV-093,
7/22/2024,Loveland,Boyd Lake,LV,Culex pipiens,1,CDC Light Trap,LV-095,
7/22/2024,Loveland,Boyd Lake,LV,Culex tarsalis,51,CDC Light Trap,LV-095,
7/22/2024,Loveland,Sundisk and 13E,LV,Culex tarsalis,1,CDC Light Trap,LV-116,
7/22/2024,Loveland,Sundisk and 13E,LV,Culex pipiens,2,CDC Light Trap,LV-116,
7/22/2024,Loveland,Centerra,LV,Trap Malfunction,0,CDC Light Trap,LV-117,
7/23/2024,Loveland,Jefferson and 11th,LV,Culex tarsalis,26,CDC Light Trap,LV-074,
7/23/2024,Loveland,Jefferson and 11th,LV,Culex pipiens,37,CDC Light Trap,LV-074,
7/23/2024,Loveland,Jefferson And 11th Gravid,LV,Culex pipiens,29,Gravid Trap,LV-074gr,
7/23/2024,Loveland,1105 East 1st Street,LV,Culex tarsalis,4,CDC Light Trap,LV-077,
7/23/2024,Loveland,9th and DesMoines,LV,Culex pipiens,5,CDC Light Trap,LV-089,
7/23/2024,Loveland,9th and DesMoines,LV,Culex tarsalis,26,CDC Light Trap,LV-089,
7/23/2024,Loveland,Downtown Loveland ,LV,Culex pipiens,3,CDC Light Trap,LV-100,
7/23/2024,Loveland,Downtown Loveland ,LV,Culex tarsalis,1,CDC Light Trap,LV-100,
7/23/2024,Loveland,Cr 20 and 9,LV,Culex pipiens,10,CDC Light Trap,LV-104,
7/23/2024,Loveland,Cr 20 and 9,LV,Culex tarsalis,76,CDC Light Trap,LV-104,
7/23/2024,Loveland,Big Thompson ,LV,Culex pipiens,2,CDC Light Trap,LV-110,
7/23/2024,Loveland,Big Thompson ,LV,Culex tarsalis,16,CDC Light Trap,LV-110,
7/23/2024,Loveland,915 S Boise,LV,Culex pipiens,13,CDC Light Trap,LV-112,
7/23/2024,Loveland,915 S Boise,LV,Culex tarsalis,15,CDC Light Trap,LV-112,
7/23/2024,Loveland,Springs at Marianna,LV,No Mosquitoes,0,CDC Light Trap,LV-113,
7/23/2024,Loveland,Golf Vista,LV,Culex tarsalis,5,CDC Light Trap,LV-118,
7/23/2024,Loveland,Keysight Technologies,LV,Culex tarsalis,40,CDC Light Trap,LV-124,
7/23/2024,Loveland,Keysight Technologies,LV,Culex pipiens,9,CDC Light Trap,LV-124,
7/23/2024,Loveland,8th And No Name,LV,Culex tarsalis,26,CDC Light Trap,LV-125,
7/23/2024,Loveland,8th And No Name,LV,Culex pipiens,5,CDC Light Trap,LV-125,
7/24/2024,Loveland,Jocelyn and Eagle,LV,Culex tarsalis,11,CDC Light Trap,LV-019,
7/24/2024,Loveland,Jocelyn and Eagle,LV,Culex pipiens,1,CDC Light Trap,LV-019,
7/24/2024,Loveland,Cattail Pond,LV,Culex pipiens,4,CDC Light Trap,LV-020,
7/24/2024,Loveland,Cattail Pond,LV,Culex tarsalis,145,CDC Light Trap,LV-020,
7/24/2024,Loveland,Linda and 26th ,LV,Culex pipiens,3,CDC Light Trap,LV-021,
7/24/2024,Loveland,Linda and 26th ,LV,Culex tarsalis,10,CDC Light Trap,LV-021,
7/24/2024,Loveland,2001 S Douglas,LV,Culex pipiens,3,CDC Light Trap,LV-042,
7/24/2024,Loveland,2001 S Douglas,LV,Culex tarsalis,11,CDC Light Trap,LV-042,
7/24/2024,Loveland,Derby Hill,LV,Culex pipiens,5,CDC Light Trap,LV-087,
7/24/2024,Loveland,Derby Hill,LV,Culex tarsalis,36,CDC Light Trap,LV-087,
7/24/2024,Loveland,Jill Drive Pond,LV,Culex pipiens,11,CDC Light Trap,LV-114,
7/24/2024,Loveland,Jill Drive Pond,LV,Culex tarsalis,59,CDC Light Trap,LV-114,
7/24/2024,Loveland,End of City Limits North,LV,Culex tarsalis,69,CDC Light Trap,LV-120,
7/25/2024,Loveland,Hendler Gravid,LV,Culex pipiens,16,Gravid Trap,LV-010gr,
7/25/2024,Loveland,Estrella Park,LV,Culex pipiens,2,CDC Light Trap,LV-014,
7/25/2024,Loveland,Estrella Park,LV,Culex tarsalis,1,CDC Light Trap,LV-014,
7/25/2024,Loveland,Farasita at Rist Benson,LV,No Mosquitoes,0,CDC Light Trap,LV-097,
7/25/2024,Loveland,Benson Sculpture Park,LV,Culex tarsalis,5,CDC Light Trap,LV-098,
7/25/2024,Loveland,Benson Sculpture Park,LV,Culex pipiens,6,CDC Light Trap,LV-098,
7/25/2024,Loveland,Cattails Golfcourse,LV,Culex tarsalis,1,CDC Light Trap,LV-099,
7/25/2024,Loveland,Glen Isle Ditch,LV,Culex tarsalis,11,CDC Light Trap,LV-102,
7/25/2024,Loveland,Glen Isle Ditch,LV,Culex pipiens,13,CDC Light Trap,LV-102,
7/25/2024,Loveland,West 43rd Railroad,LV,Culex pipiens,1,CDC Light Trap,LV-105,
7/25/2024,Loveland,West 43rd Railroad,LV,Culex tarsalis,9,CDC Light Trap,LV-105,
7/25/2024,Loveland,Bayfield and Windsor,LV,Culex tarsalis,17,CDC Light Trap,LV-121,
7/25/2024,Loveland,Bayfield and Windsor,LV,Culex pipiens,3,CDC Light Trap,LV-121,
7/25/2024,Loveland,Fallgold,LV,Culex pipiens,5,CDC Light Trap,LV-122,
7/25/2024,Loveland,Fallgold,LV,Culex tarsalis,10,CDC Light Trap,LV-122,
7/22/2024,Timnath,Timnath - 5th and Kern,TT,Culex tarsalis,8,CDC Light Trap,LC-010 ,
7/22/2024,Timnath,Timnath - Golf Course,TT,Culex tarsalis,1,CDC Light Trap,LC-022 ,
7/22/2024,Timnath,Timnath - Golf Course,TT,Culex pipiens,1,CDC Light Trap,LC-022 ,
7/22/2024,Timnath,Timnath - Summerfields,TT,Culex tarsalis,10,CDC Light Trap,LC-048 ,
7/22/2024,Timnath,Timnath - Wildwing,TT,Culex pipiens,7,CDC Light Trap,LC-050 ,
7/22/2024,Timnath,Timnath - Wildwing,TT,Culex tarsalis,4,CDC Light Trap,LC-050 ,
7/22/2024,Timnath,Timnath - Serratoga Falls,TT,Culex tarsalis,15,CDC Light Trap,LC-051 ,
7/22/2024,Timnath,Timnath - Walmart,TT,Culex pipiens,1,CDC Light Trap,LC-052 ,
7/22/2024,Timnath,Timnath - Walmart,TT,Culex tarsalis,11,CDC Light Trap,LC-052 ,
7/22/2024,Timnath,Timnath - Trailside,TT,Culex tarsalis,17,CDC Light Trap,LC-057,
