"","trap_id","zone","zone2","trap_date","year","week","spp","spp0","method","trap_status","total.x","total.y","total","check"
"35","LV-069","LV","LV",2023-08-27,2023,34,"Tarsalis","Culex tarsalis","L","culex",5,28,5,TRUE
"36","LV-069","LV","LV",2023-08-27,2023,34,"Pipiens","Culex pipiens","L","culex",1,3,1,TRUE
"37","FC-040GR","NE","FC",2023-08-21,2023,34,"Tarsalis","Culex tarsalis","G","culex",20,0,20,TRUE
"38","FC-004","SE","FC",2023-08-20,2023,33,"Pipiens","Culex pipiens","L","culex",8,2,8,TRUE
"39","FC-004","SE","FC",2023-08-20,2023,33,"Tarsalis","Culex tarsalis","L","culex",69,5,69,TRUE
"40","FC-023","SE","FC",2023-08-20,2023,33,"Pipiens","Culex pipiens","L","culex",1,0,1,TRUE
"41","FC-023","SE","FC",2023-08-20,2023,33,"Tarsalis","Culex tarsalis","L","culex",13,2,13,TRUE
"42","FC-027","SE","FC",2023-08-20,2023,33,"Tarsalis","Culex tarsalis","L","culex",8,5,8,TRUE
"43","FC-027","SE","FC",2023-08-20,2023,33,"Pipiens","Culex pipiens","L","culex",14,1,14,TRUE
"44","FC-031","SE","FC",2023-08-20,2023,33,"Pipiens","Culex pipiens","L","culex",28,0,28,TRUE
"45","FC-031","SE","FC",2023-08-20,2023,33,"Tarsalis","Culex tarsalis","L","culex",164,6,164,TRUE
"46","FC-039","SE","FC",2023-08-20,2023,33,"Tarsalis","Culex tarsalis","L","culex",78,13,78,TRUE
"47","FC-039","SE","FC",2023-08-20,2023,33,"Pipiens","Culex pipiens","L","culex",15,18,15,TRUE
"48","FC-046","SE","FC",2023-08-20,2023,33,"Pipiens","Culex pipiens","L","culex",32,1,32,TRUE
"49","FC-046","SE","FC",2023-08-20,2023,33,"Tarsalis","Culex tarsalis","L","culex",52,3,52,TRUE
"50","FC-047","SE","FC",2023-08-20,2023,33,"Tarsalis","Culex tarsalis","L","culex",33,17,33,TRUE
"51","FC-053","SE","FC",2023-08-20,2023,33,"Tarsalis","Culex tarsalis","L","culex",13,5,13,TRUE
"52","FC-059","SE","FC",2023-08-20,2023,33,"Tarsalis","Culex tarsalis","L","culex",6,0,6,TRUE
"53","FC-064","SE","FC",2023-08-20,2023,33,"Tarsalis","Culex tarsalis","L","culex",50,7,50,TRUE
"54","FC-074","SE","FC",2023-08-20,2023,33,"Tarsalis","Culex tarsalis","L","culex",4,2,4,TRUE
"55","FC-075","SE","FC",2023-08-20,2023,33,"Tarsalis","Culex tarsalis","L","culex",4,2,4,TRUE
"56","FC-075","SE","FC",2023-08-20,2023,33,"Pipiens","Culex pipiens","L","culex",8,1,8,TRUE
"57","FC-075GR","SE","FC",2023-08-20,2023,33,"Pipiens","Culex pipiens","G","culex",31,3,31,TRUE
"58","FC-088GR","SE","FC",2023-08-20,2023,33,"Tarsalis","Culex tarsalis","G","culex",1,0,1,TRUE
"59","FC-088GR","SE","FC",2023-08-20,2023,33,"Pipiens","Culex pipiens","G","culex",37,8,37,TRUE
"60","LV-069","LV","LV",2023-08-20,2023,33,"Pipiens","Culex pipiens","L","culex",3,1,3,TRUE
"61","LV-069","LV","LV",2023-08-20,2023,33,"Tarsalis","Culex tarsalis","L","culex",28,27,28,TRUE
"62","LV-095","LV","LV",2023-08-20,2023,33,"Tarsalis","Culex tarsalis","L","culex",244,106,244,TRUE
"63","LV-095","LV","LV",2023-08-20,2023,33,"Pipiens","Culex pipiens","L","culex",50,60,50,TRUE
"64","LC-054","BE","BE",2023-08-15,2023,33,"Tarsalis","Culex tarsalis","L","culex",228,150,228,TRUE
"65","LV-020","LV","LV",2023-08-15,2023,33,"Tarsalis","Culex tarsalis","L","culex",336,150,336,TRUE
"66","LV-089","LV","LV",2023-08-14,2023,33,"Tarsalis","Culex tarsalis","L","culex",304,150,304,TRUE
"67","FC-006","NE","FC",2023-08-13,2023,32,"Pipiens","Culex pipiens","L","culex",2,3,2,TRUE
"68","FC-014","NE","FC",2023-08-13,2023,32,"Tarsalis","Culex tarsalis","L","culex",21,25,21,TRUE
"69","FC-014","NE","FC",2023-08-13,2023,32,"Pipiens","Culex pipiens","L","culex",23,55,23,TRUE
"70","FC-019","NE","FC",2023-08-13,2023,32,"Tarsalis","Culex tarsalis","L","culex",37,20,37,TRUE
"71","FC-019","NE","FC",2023-08-13,2023,32,"Pipiens","Culex pipiens","L","culex",44,17,44,TRUE
"72","FC-034","NE","FC",2023-08-13,2023,32,"Tarsalis","Culex tarsalis","L","culex",3,33,3,TRUE
"73","FC-036","NW","FC",2023-08-13,2023,32,"Pipiens","Culex pipiens","L","culex",4,22,4,TRUE
"74","FC-036","NW","FC",2023-08-13,2023,32,"Tarsalis","Culex tarsalis","L","culex",3,36,3,TRUE
"75","FC-038","NE","FC",2023-08-13,2023,32,"Pipiens","Culex pipiens","L","culex",10,11,10,TRUE
"76","FC-038","NE","FC",2023-08-13,2023,32,"Tarsalis","Culex tarsalis","L","culex",14,28,14,TRUE
"77","FC-040","NE","FC",2023-08-13,2023,32,"Pipiens","Culex pipiens","L","culex",57,18,57,TRUE
"78","FC-040","NE","FC",2023-08-13,2023,32,"Tarsalis","Culex tarsalis","L","culex",75,28,75,TRUE
"79","FC-040GR","NE","FC",2023-08-13,2023,32,"Pipiens","Culex pipiens","G","culex",69,13,69,TRUE
"80","FC-066","NE","FC",2023-08-13,2023,32,"Pipiens","Culex pipiens","L","culex",52,37,52,TRUE
"81","FC-066","NE","FC",2023-08-13,2023,32,"Tarsalis","Culex tarsalis","L","culex",10,18,10,TRUE
"82","FC-066GR","NE","FC",2023-08-13,2023,32,"Tarsalis","Culex tarsalis","G","culex",1,0,1,TRUE
"83","FC-066GR","NE","FC",2023-08-13,2023,32,"Pipiens","Culex pipiens","G","culex",14,9,14,TRUE
"84","FC-069","NE","FC",2023-08-13,2023,32,"Tarsalis","Culex tarsalis","L","culex",10,18,10,TRUE
"85","FC-069","NE","FC",2023-08-13,2023,32,"Pipiens","Culex pipiens","L","culex",4,5,4,TRUE
"86","FC-072","NE","FC",2023-08-13,2023,32,"Tarsalis","Culex tarsalis","L","culex",33,29,33,TRUE
"87","FC-091GR","NE","FC",2023-08-13,2023,32,"Pipiens","Culex pipiens","G","culex",5,18,5,TRUE
"88","FC-092GR","NE","FC",2023-08-13,2023,32,"Pipiens","Culex pipiens","G","culex",40,7,40,TRUE
"89","LV-069","LV","LV",2023-08-13,2023,32,"Pipiens","Culex pipiens","L","culex",1,0,1,TRUE
"90","LV-069","LV","LV",2023-08-13,2023,32,"Tarsalis","Culex tarsalis","L","culex",27,46,27,TRUE
"91","LV-095","LV","LV",2023-08-13,2023,32,"Pipiens","Culex pipiens","L","culex",60,45,60,TRUE
"92","LV-095","LV","LV",2023-08-13,2023,32,"Tarsalis","Culex tarsalis","L","culex",106,150,106,TRUE
"93","LC-053","BE","BE",2023-08-08,2023,32,"Tarsalis","Culex tarsalis","L","culex",196,150,196,TRUE
"94","LV-020","LV","LV",2023-08-08,2023,32,"Tarsalis","Culex tarsalis","L","culex",512,150,512,TRUE
"95","FC-006","NE","FC",2023-08-06,2023,31,"Tarsalis","Culex tarsalis","L","culex",10,2,10,TRUE
"96","FC-006","NE","FC",2023-08-06,2023,31,"Pipiens","Culex pipiens","L","culex",3,0,3,TRUE
"97","FC-014","NE","FC",2023-08-06,2023,31,"Pipiens","Culex pipiens","L","culex",55,11,55,TRUE
"98","FC-014","NE","FC",2023-08-06,2023,31,"Tarsalis","Culex tarsalis","L","culex",25,26,25,TRUE
"99","FC-019","NE","FC",2023-08-06,2023,31,"Pipiens","Culex pipiens","L","culex",17,6,17,TRUE
"100","FC-034","NE","FC",2023-08-06,2023,31,"Pipiens","Culex pipiens","L","culex",2,0,2,TRUE
"101","FC-034","NE","FC",2023-08-06,2023,31,"Tarsalis","Culex tarsalis","L","culex",33,6,33,TRUE
"102","FC-036","NW","FC",2023-08-06,2023,31,"Pipiens","Culex pipiens","L","culex",22,6,22,TRUE
"103","FC-036","NW","FC",2023-08-06,2023,31,"Tarsalis","Culex tarsalis","L","culex",36,20,36,TRUE
"104","FC-038","NE","FC",2023-08-06,2023,31,"Tarsalis","Culex tarsalis","L","culex",28,24,28,TRUE
"105","FC-038","NE","FC",2023-08-06,2023,31,"Pipiens","Culex pipiens","L","culex",11,0,11,TRUE
"106","FC-040","NE","FC",2023-08-06,2023,31,"Pipiens","Culex pipiens","L","culex",18,8,18,TRUE
"107","FC-040","NE","FC",2023-08-06,2023,31,"Tarsalis","Culex tarsalis","L","culex",28,22,28,TRUE
"108","FC-040GR","NE","FC",2023-08-06,2023,31,"Pipiens","Culex pipiens","G","culex",13,0,13,TRUE
"109","FC-066","NE","FC",2023-08-06,2023,31,"Pipiens","Culex pipiens","L","culex",37,65,37,TRUE
"110","FC-066","NE","FC",2023-08-06,2023,31,"Tarsalis","Culex tarsalis","L","culex",18,51,18,TRUE
"111","FC-066GR","NE","FC",2023-08-06,2023,31,"Pipiens","Culex pipiens","G","culex",9,1,9,TRUE
"112","FC-067","NE","FC",2023-08-06,2023,31,"Tarsalis","Culex tarsalis","L","culex",1,12,1,TRUE
"113","FC-069","NE","FC",2023-08-06,2023,31,"Pipiens","Culex pipiens","L","culex",5,0,5,TRUE
"114","FC-069","NE","FC",2023-08-06,2023,31,"Tarsalis","Culex tarsalis","L","culex",18,14,18,TRUE
"115","FC-072","NE","FC",2023-08-06,2023,31,"Tarsalis","Culex tarsalis","L","culex",29,2,29,TRUE
"116","FC-072","NE","FC",2023-08-06,2023,31,"Pipiens","Culex pipiens","L","culex",8,0,8,TRUE
"117","FC-091GR","NE","FC",2023-08-06,2023,31,"Pipiens","Culex pipiens","G","culex",18,0,18,TRUE
"118","FC-092GR","NE","FC",2023-08-06,2023,31,"Pipiens","Culex pipiens","G","culex",7,0,7,TRUE
"119","LV-069","LV","LV",2023-08-06,2023,31,"Tarsalis","Culex tarsalis","L","culex",46,120,46,TRUE
"120","LV-095","LV","LV",2023-08-06,2023,31,"Pipiens","Culex pipiens","L","culex",45,4,45,TRUE
"121","LV-089","LV","LV",2023-07-31,2023,31,"Tarsalis","Culex tarsalis","L","culex",392,150,392,TRUE
"122","FC-004","SE","FC",2023-07-30,2023,30,"Tarsalis","Culex tarsalis","L","culex",271,80,271,TRUE
"123","FC-004","SE","FC",2023-07-30,2023,30,"Pipiens","Culex pipiens","L","culex",24,10,24,TRUE
"124","FC-023","SE","FC",2023-07-30,2023,30,"Tarsalis","Culex tarsalis","L","culex",79,55,79,TRUE
"125","FC-023","SE","FC",2023-07-30,2023,30,"Pipiens","Culex pipiens","L","culex",8,4,8,TRUE
"126","FC-027","SE","FC",2023-07-30,2023,30,"Tarsalis","Culex tarsalis","L","culex",26,48,26,TRUE
"127","FC-031","SE","FC",2023-07-30,2023,30,"Tarsalis","Culex tarsalis","L","culex",627,30,627,TRUE
"128","FC-031","SE","FC",2023-07-30,2023,30,"Pipiens","Culex pipiens","L","culex",44,0,44,TRUE
"129","FC-039","SE","FC",2023-07-30,2023,30,"Pipiens","Culex pipiens","L","culex",6,17,6,TRUE
"130","FC-039","SE","FC",2023-07-30,2023,30,"Tarsalis","Culex tarsalis","L","culex",229,138,229,TRUE
"131","FC-046","SE","FC",2023-07-30,2023,30,"Pipiens","Culex pipiens","L","culex",6,5,6,TRUE
"132","FC-046","SE","FC",2023-07-30,2023,30,"Tarsalis","Culex tarsalis","L","culex",80,82,80,TRUE
"133","FC-047","SE","FC",2023-07-30,2023,30,"Pipiens","Culex pipiens","L","culex",7,1,7,TRUE
"134","FC-047","SE","FC",2023-07-30,2023,30,"Tarsalis","Culex tarsalis","L","culex",79,94,79,TRUE
"135","FC-050","SE","FC",2023-07-30,2023,30,"Tarsalis","Culex tarsalis","L","culex",82,113,82,TRUE
"136","FC-050","SE","FC",2023-07-30,2023,30,"Pipiens","Culex pipiens","L","culex",4,1,4,TRUE
"137","FC-053","SE","FC",2023-07-30,2023,30,"Tarsalis","Culex tarsalis","L","culex",140,170,140,TRUE
"138","FC-059","SE","FC",2023-07-30,2023,30,"Tarsalis","Culex tarsalis","L","culex",14,96,14,TRUE
"139","FC-059","SE","FC",2023-07-30,2023,30,"Pipiens","Culex pipiens","L","culex",1,7,1,TRUE
"140","FC-064","SE","FC",2023-07-30,2023,30,"Tarsalis","Culex tarsalis","L","culex",181,99,181,TRUE
"141","FC-064","SE","FC",2023-07-30,2023,30,"Pipiens","Culex pipiens","L","culex",45,3,45,TRUE
"142","FC-074","SE","FC",2023-07-30,2023,30,"Tarsalis","Culex tarsalis","L","culex",62,43,62,TRUE
"143","FC-074","SE","FC",2023-07-30,2023,30,"Pipiens","Culex pipiens","L","culex",2,9,2,TRUE
"144","FC-075","SE","FC",2023-07-30,2023,30,"Pipiens","Culex pipiens","L","culex",20,5,20,TRUE
"145","FC-075","SE","FC",2023-07-30,2023,30,"Tarsalis","Culex tarsalis","L","culex",79,9,79,TRUE
"146","FC-075GR","SE","FC",2023-07-30,2023,30,"Pipiens","Culex pipiens","G","culex",48,50,48,TRUE
"147","FC-088GR","SE","FC",2023-07-30,2023,30,"Pipiens","Culex pipiens","G","culex",124,63,124,TRUE
"148","LV-069","LV","LV",2023-07-30,2023,30,"Tarsalis","Culex tarsalis","L","culex",120,90,120,TRUE
"149","LV-095","LV","LV",2023-07-30,2023,30,"Pipiens","Culex pipiens","L","culex",4,0,4,TRUE
"150","LV-095","LV","LV",2023-07-30,2023,30,"Tarsalis","Culex tarsalis","L","culex",1616,0,1616,TRUE
"151","LC-001","BE","BE",2023-07-25,2023,30,"Tarsalis","Culex tarsalis","L","culex",297,150,297,TRUE
"152","LC-053","BE","BE",2023-07-25,2023,30,"Tarsalis","Culex tarsalis","L","culex",256,150,256,TRUE
"153","LV-020","LV","LV",2023-07-25,2023,30,"Tarsalis","Culex tarsalis","L","culex",748,150,748,TRUE
"154","LV-089","LV","LV",2023-07-24,2023,30,"Tarsalis","Culex tarsalis","L","culex",1328,150,1328,TRUE
"155","LV-104","LV","LV",2023-07-24,2023,30,"Tarsalis","Culex tarsalis","L","culex",432,150,432,TRUE
"156","LV-110","LV","LV",2023-07-24,2023,30,"Tarsalis","Culex tarsalis","L","culex",209,150,209,TRUE
"157","FC-006","NE","FC",2023-07-23,2023,29,"Pipiens","Culex pipiens","L","culex",12,6,12,TRUE
"158","FC-006","NE","FC",2023-07-23,2023,29,"Tarsalis","Culex tarsalis","L","culex",129,207,129,TRUE
"159","FC-014","NE","FC",2023-07-23,2023,29,"Pipiens","Culex pipiens","L","culex",151,68,151,TRUE
"160","FC-014","NE","FC",2023-07-23,2023,29,"Tarsalis","Culex tarsalis","L","culex",439,1024,439,TRUE
"161","FC-019","NE","FC",2023-07-23,2023,29,"Tarsalis","Culex tarsalis","L","culex",282,611,282,TRUE
"162","FC-019","NE","FC",2023-07-23,2023,29,"Pipiens","Culex pipiens","L","culex",58,56,58,TRUE
"163","FC-034","NE","FC",2023-07-23,2023,29,"Pipiens","Culex pipiens","L","culex",4,0,4,TRUE
"164","FC-034","NE","FC",2023-07-23,2023,29,"Tarsalis","Culex tarsalis","L","culex",168,148,168,TRUE
"165","FC-036","NW","FC",2023-07-23,2023,29,"Pipiens","Culex pipiens","L","culex",9,3,9,TRUE
"166","FC-036","NW","FC",2023-07-23,2023,29,"Tarsalis","Culex tarsalis","L","culex",41,112,41,TRUE
"167","FC-038","NE","FC",2023-07-23,2023,29,"Tarsalis","Culex tarsalis","L","culex",243,342,243,TRUE
"168","FC-038","NE","FC",2023-07-23,2023,29,"Pipiens","Culex pipiens","L","culex",7,10,7,TRUE
"169","FC-040","NE","FC",2023-07-23,2023,29,"Pipiens","Culex pipiens","L","culex",8,0,8,TRUE
"170","FC-040","NE","FC",2023-07-23,2023,29,"Tarsalis","Culex tarsalis","L","culex",254,213,254,TRUE
"171","FC-040GR","NE","FC",2023-07-23,2023,29,"Pipiens","Culex pipiens","G","culex",61,125,61,TRUE
"172","FC-066","NE","FC",2023-07-23,2023,29,"Pipiens","Culex pipiens","L","culex",221,90,221,TRUE
"173","FC-066","NE","FC",2023-07-23,2023,29,"Tarsalis","Culex tarsalis","L","culex",407,344,407,TRUE
"174","FC-066GR","NE","FC",2023-07-23,2023,29,"Pipiens","Culex pipiens","G","culex",5,3,5,TRUE
"175","FC-066GR","NE","FC",2023-07-23,2023,29,"Tarsalis","Culex tarsalis","G","culex",2,0,2,TRUE
"176","FC-067","NE","FC",2023-07-23,2023,29,"Pipiens","Culex pipiens","L","culex",14,0,14,TRUE
"177","FC-067","NE","FC",2023-07-23,2023,29,"Tarsalis","Culex tarsalis","L","culex",229,30,229,TRUE
"178","FC-069","NE","FC",2023-07-23,2023,29,"Tarsalis","Culex tarsalis","L","culex",121,203,121,TRUE
"179","FC-069","NE","FC",2023-07-23,2023,29,"Pipiens","Culex pipiens","L","culex",10,3,10,TRUE
"180","FC-072","NE","FC",2023-07-23,2023,29,"Tarsalis","Culex tarsalis","L","culex",497,1347,497,TRUE
"181","FC-072","NE","FC",2023-07-23,2023,29,"Pipiens","Culex pipiens","L","culex",19,32,19,TRUE
"182","FC-091GR","NE","FC",2023-07-23,2023,29,"Pipiens","Culex pipiens","G","culex",39,2,39,TRUE
"183","FC-091GR","NE","FC",2023-07-23,2023,29,"Tarsalis","Culex tarsalis","G","culex",3,0,3,TRUE
"184","FC-092GR","NE","FC",2023-07-23,2023,29,"Pipiens","Culex pipiens","G","culex",27,67,27,TRUE
"185","FC-092GR","NE","FC",2023-07-23,2023,29,"Tarsalis","Culex tarsalis","G","culex",1,0,1,TRUE
"186","LV-069","LV","LV",2023-07-23,2023,29,"Tarsalis","Culex tarsalis","L","culex",90,150,90,TRUE
"187","LV-069","LV","LV",2023-07-23,2023,29,"Pipiens","Culex pipiens","L","culex",1,0,1,TRUE
"188","LC-001","BE","BE",2023-07-18,2023,29,"Tarsalis","Culex tarsalis","L","culex",640,150,640,TRUE
"189","LC-053","BE","BE",2023-07-18,2023,29,"Tarsalis","Culex tarsalis","L","culex",1568,150,1568,TRUE
"190","LC-054","BE","BE",2023-07-18,2023,29,"Tarsalis","Culex tarsalis","L","culex",768,150,768,TRUE
"191","LV-020","LV","LV",2023-07-18,2023,29,"Tarsalis","Culex tarsalis","L","culex",1552,150,1552,TRUE
"192","WC-055","BE","BE",2023-07-18,2023,29,"Tarsalis","Culex tarsalis","L","culex",876,150,876,TRUE
"193","LV-089","LV","LV",2023-07-17,2023,29,"Tarsalis","Culex tarsalis","L","culex",1936,150,1936,TRUE
"194","LV-104","LV","LV",2023-07-17,2023,29,"Tarsalis","Culex tarsalis","L","culex",512,150,512,TRUE
"195","LV-110","LV","LV",2023-07-17,2023,29,"Tarsalis","Culex tarsalis","L","culex",832,150,832,TRUE
"196","FC-006","NE","FC",2023-07-16,2023,28,"Pipiens","Culex pipiens","L","culex",6,7,6,TRUE
"197","FC-006","NE","FC",2023-07-16,2023,28,"Tarsalis","Culex tarsalis","L","culex",207,29,207,TRUE
"198","FC-014","NE","FC",2023-07-16,2023,28,"Pipiens","Culex pipiens","L","culex",68,18,68,TRUE
"199","FC-014","NE","FC",2023-07-16,2023,28,"Tarsalis","Culex tarsalis","L","culex",1024,225,1024,TRUE
"200","FC-019","NE","FC",2023-07-16,2023,28,"Pipiens","Culex pipiens","L","culex",56,88,56,TRUE
"201","FC-019","NE","FC",2023-07-16,2023,28,"Tarsalis","Culex tarsalis","L","culex",611,134,611,TRUE
"202","FC-034","NE","FC",2023-07-16,2023,28,"Tarsalis","Culex tarsalis","L","culex",148,265,148,TRUE
"203","FC-036","NW","FC",2023-07-16,2023,28,"Tarsalis","Culex tarsalis","L","culex",112,8,112,TRUE
"204","FC-036","NW","FC",2023-07-16,2023,28,"Pipiens","Culex pipiens","L","culex",3,12,3,TRUE
"205","FC-038","NE","FC",2023-07-16,2023,28,"Tarsalis","Culex tarsalis","L","culex",342,18,342,TRUE
"206","FC-038","NE","FC",2023-07-16,2023,28,"Pipiens","Culex pipiens","L","culex",10,13,10,TRUE
"207","FC-040","NE","FC",2023-07-16,2023,28,"Tarsalis","Culex tarsalis","L","culex",213,161,213,TRUE
"208","FC-040GR","NE","FC",2023-07-16,2023,28,"Pipiens","Culex pipiens","G","culex",125,45,125,TRUE
"209","FC-040GR","NE","FC",2023-07-16,2023,28,"Tarsalis","Culex tarsalis","G","culex",6,0,6,TRUE
"210","FC-066","NE","FC",2023-07-16,2023,28,"Pipiens","Culex pipiens","L","culex",90,2,90,TRUE
"211","FC-066","NE","FC",2023-07-16,2023,28,"Tarsalis","Culex tarsalis","L","culex",344,8,344,TRUE
"212","FC-066GR","NE","FC",2023-07-16,2023,28,"Pipiens","Culex pipiens","G","culex",3,11,3,TRUE
"213","FC-067","NE","FC",2023-07-16,2023,28,"Tarsalis","Culex tarsalis","L","culex",30,34,30,TRUE
"214","FC-069","NE","FC",2023-07-16,2023,28,"Pipiens","Culex pipiens","L","culex",3,2,3,TRUE
"215","FC-069","NE","FC",2023-07-16,2023,28,"Tarsalis","Culex tarsalis","L","culex",203,14,203,TRUE
"216","FC-072","NE","FC",2023-07-16,2023,28,"Pipiens","Culex pipiens","L","culex",32,0,32,TRUE
"217","FC-072","NE","FC",2023-07-16,2023,28,"Tarsalis","Culex tarsalis","L","culex",1347,173,1347,TRUE
"218","FC-091GR","NE","FC",2023-07-16,2023,28,"Pipiens","Culex pipiens","G","culex",2,12,2,TRUE
"219","FC-092GR","NE","FC",2023-07-16,2023,28,"Pipiens","Culex pipiens","G","culex",67,7,67,TRUE
"220","LV-069","LV","LV",2023-07-16,2023,28,"Tarsalis","Culex tarsalis","L","culex",364,150,364,TRUE
"221","LV-095","LV","LV",2023-07-16,2023,28,"Pipiens","Culex pipiens","L","culex",17,34,17,TRUE
"222","LV-095","LV","LV",2023-07-16,2023,28,"Tarsalis","Culex tarsalis","L","culex",880,150,880,TRUE
"223","LC-001","BE","BE",2023-07-11,2023,28,"Tarsalis","Culex tarsalis","L","culex",692,150,692,TRUE
"224","LC-053","BE","BE",2023-07-11,2023,28,"Tarsalis","Culex tarsalis","L","culex",1472,150,1472,TRUE
"225","LC-054","BE","BE",2023-07-11,2023,28,"Tarsalis","Culex tarsalis","L","culex",900,150,900,TRUE
"226","LC-054","BE","BE",2023-07-11,2023,28,"Pipiens","Culex pipiens","L","culex",140,50,140,TRUE
"227","LV-020","LV","LV",2023-07-11,2023,28,"Tarsalis","Culex tarsalis","L","culex",216,150,216,TRUE
"228","WC-055","BE","BE",2023-07-11,2023,28,"Tarsalis","Culex tarsalis","L","culex",1968,150,1968,TRUE
"229","LV-089","LV","LV",2023-07-10,2023,28,"Tarsalis","Culex tarsalis","L","culex",560,150,560,TRUE
"230","LV-104","LV","LV",2023-07-10,2023,28,"Tarsalis","Culex tarsalis","L","culex",368,150,368,TRUE
"231","FC-006","NE","FC",2023-07-09,2023,27,"Tarsalis","Culex tarsalis","L","culex",29,31,29,TRUE
"232","FC-006","NE","FC",2023-07-09,2023,27,"Pipiens","Culex pipiens","L","culex",7,4,7,TRUE
"233","FC-014","NE","FC",2023-07-09,2023,27,"Tarsalis","Culex tarsalis","L","culex",225,157,225,TRUE
"234","FC-014","NE","FC",2023-07-09,2023,27,"Pipiens","Culex pipiens","L","culex",18,13,18,TRUE
"235","FC-019","NE","FC",2023-07-09,2023,27,"Tarsalis","Culex tarsalis","L","culex",134,192,134,TRUE
"236","FC-019","NE","FC",2023-07-09,2023,27,"Pipiens","Culex pipiens","L","culex",88,21,88,TRUE
"237","FC-034","NE","FC",2023-07-09,2023,27,"Tarsalis","Culex tarsalis","L","culex",265,680,265,TRUE
