"csu_id","trap_id","zone","zone2","trap_date","year","week","spp","spp0","method","trap_status","total","test_code","cq","copies","seq","notes"
"CSU22583","FC-006","NE","FC",2024-08-05,2024,32,"Pipiens","Pipiens","L","culex",1,0,55.55,0,NA,NA
"CSU22582","FC-006","NE","FC",2024-08-05,2024,32,"Tarsalis","Tarsalis","L","culex",3,0,55.55,0,NA,NA
"CSU22581","FC-040","NE","FC",2024-08-05,2024,32,"Pipiens","Pipiens","L","culex",20,1,23.44,39169.93,NA,NA
"CSU22584","FC-092GR","NE","FC",2024-08-05,2024,32,"Pipiens","Pipiens","G","culex",18,1,26.03,6298.78,NA,NA
"CSU22661","FC-011","NW","FC",2024-08-07,2024,32,"Pipiens","Pipiens","L","culex",11,0,30.81,155.21,NA,NA
"CSU22660","FC-011","NW","FC",2024-08-07,2024,32,"Tarsalis","Tarsalis","L","culex",7,0,55.55,0,NA,NA
"CSU22591","FC-036","NW","FC",2024-08-05,2024,32,"Pipiens","Pipiens","L","culex",50,1,21.11,204076.02,NA,NA
"CSU22635","FC-052","NW","FC",2024-08-07,2024,32,"Tarsalis","Tarsalis","L","culex",4,1,21.48,156658.8,NA,NA
"CSU22615","FC-004","SE","FC",2024-08-06,2024,32,"Pipiens","Pipiens","L","culex",11,0,55.55,0,NA,NA
"CSU22614","FC-004","SE","FC",2024-08-06,2024,32,"Tarsalis","Tarsalis","L","culex",6,0,55.55,0,NA,NA
"CSU22667","FC-029GR","SE","FC",2024-08-08,2024,32,"Pipiens","Pipiens","G","culex",21,1,20.06,301596.97,NA,NA
"CSU22625","FC-088GR","SE","FC",2024-08-06,2024,32,"Pipiens","Pipiens","G","culex",23,1,22.39,82498.35,NA,NA
"CSU22669","FC-001","SW","FC",2024-08-08,2024,32,"Pipiens","Pipiens","L","culex",2,0,55.55,0,NA,NA
"CSU22658","FC-060","SW","FC",2024-08-07,2024,32,"Tarsalis","Tarsalis","L","culex",2,1,19,634599.62,NA,NA
"BOU00241","BC-04","BC","BC",2024-08-12,2024,33,"Tarsalis","Tarsalis","L","culex",25,0,55.55,0,NA,NA
"BOU00243","BC-26","BC","BC",2024-08-12,2024,33,"Tarsalis","Tarsalis","L","culex",49,1,22.32,3130.59,NA,NA
"CSU22762","LC-001","BE","BE",2024-08-14,2024,33,"Pipiens","Pipiens","L","culex",19,0,55.55,0,NA,NA
"CSU22761","LC-001","BE","BE",2024-08-14,2024,33,"Tarsalis","Tarsalis","L","culex",42,1,14.46,16369846,NA,NA
"CSU22756","LC-049","BE","BE",2024-08-14,2024,33,"Pipiens","Pipiens","L","culex",5,0,55.55,0,NA,NA
"CDC172","LC-058","BE","BE",2024-08-14,2024,33,"Tarsalis","Tarsalis","L","culex",23,1,16.32,223985.45,NA,NA
"CSU22708","FC-014","NE","FC",2024-08-12,2024,33,"Pipiens","Pipiens","L","culex",4,0,55.55,0,NA,NA
"CSU22707","FC-014","NE","FC",2024-08-12,2024,33,"Tarsalis","Tarsalis","L","culex",41,0,55.55,0,NA,NA
"CSU22706","FC-066GR","NE","FC",2024-08-12,2024,33,"Pipiens","Pipiens","G","culex",37,1,28.23,718.83,NA,NA
"CSU22698","FC-072","NE","FC",2024-08-12,2024,33,"Pipiens","Pipiens","L","culex",22,1,23.67,19879.33,NA,NA
"CSU22732","FC-004","SE","FC",2024-08-13,2024,33,"Pipiens","Pipiens","L","culex",8,0,33.97,10.96,NA,NA
"CSU22720","FC-075GR","SE","FC",2024-08-13,2024,33,"Pipiens","Pipiens","G","culex",13,1,21.06,133085.39,NA,NA
"BOU00246","BC-03","BC","BC",2024-08-19,2024,34,"Tarsalis","Tarsalis","L","culex",13,0,55.55,0,NA,NA
"BOU00248","BC-26","BC","BC",2024-08-19,2024,34,"Tarsalis","Tarsalis","L","culex",10,1,21.86,120340.23,NA,NA
"CSU22879","LC-001","BE","BE",2024-08-21,2024,34,"Tarsalis","Tarsalis","L","culex",7,0,36.09,3.4,NA,NA
"CSU22895","LC-049","BE","BE",2024-08-21,2024,34,"Pipiens","Pipiens","L","culex",1,0,37.09,2.17,NA,NA
"CDC204","LC-059","BE","BE",2024-08-21,2024,34,"Pipiens","Pipiens","L","culex",50,1,24.13,23607.99,NA,NA
"CDC201","LC-059","BE","BE",2024-08-21,2024,34,"Tarsalis","Tarsalis","L","culex",47,1,22.57,72322.55,NA,NA
"CSU22887","LV-020","LV","LV",2024-08-21,2024,34,"Pipiens","Pipiens","L","culex",15,0,55.55,0,NA,NA
"CSU22884","LV-020","LV","LV",2024-08-21,2024,34,"Tarsalis","Tarsalis","L","culex",50,1,23.12,32291,NA,NA
"CSU22885","LV-020","LV","LV",2024-08-21,2024,34,"Tarsalis","Tarsalis","L","culex",50,1,26.53,2912.66,NA,NA
"CSU22886","LV-020","LV","LV",2024-08-21,2024,34,"Tarsalis","Tarsalis","L","culex",2,0,35.32,7.73,NA,NA
"CSU22807","FC-006","NE","FC",2024-08-19,2024,34,"Pipiens","Pipiens","L","culex",2,1,25.5,5987.43,NA,NA
"CSU22806","FC-006","NE","FC",2024-08-19,2024,34,"Tarsalis","Tarsalis","L","culex",7,0,55.55,0,NA,NA
"CSU22829","FC-014","NE","FC",2024-08-19,2024,34,"Pipiens","Pipiens","L","culex",22,0,37.57,1.2,NA,NA
"CSU22828","FC-014","NE","FC",2024-08-19,2024,34,"Tarsalis","Tarsalis","L","culex",43,0,55.55,0,NA,NA
"CSU22825","FC-019","NE","FC",2024-08-19,2024,34,"Pipiens","Pipiens","L","culex",22,0,55.55,0,NA,NA
"CSU22824","FC-019","NE","FC",2024-08-19,2024,34,"Tarsalis","Tarsalis","L","culex",22,0,55.55,0,NA,NA
"CSU22803","FC-034","NE","FC",2024-08-19,2024,34,"Tarsalis","Tarsalis","L","culex",14,0,55.55,0,NA,NA
"CSU22801","FC-038","NE","FC",2024-08-19,2024,34,"Pipiens","Pipiens","L","culex",9,0,55.55,0,NA,NA
"CSU22800","FC-038","NE","FC",2024-08-19,2024,34,"Tarsalis","Tarsalis","L","culex",25,1,22.46,51182.26,NA,NA
"CSU22813","FC-040GR","NE","FC",2024-08-19,2024,34,"Pipiens","Pipiens","G","culex",50,1,24.06,16571.04,NA,NA
"CSU22814","FC-040GR","NE","FC",2024-08-19,2024,34,"Pipiens","Pipiens","G","culex",50,1,19,590805.56,NA,NA
"CSU22822","FC-066","NE","FC",2024-08-19,2024,34,"Tarsalis","Tarsalis","L","culex",14,1,19.24,499258.78,NA,NA
"CSU22827","FC-066GR","NE","FC",2024-08-19,2024,34,"Pipiens","Pipiens","G","culex",42,1,20.09,273374.09,NA,NA
"CSU22818","FC-092GR","NE","FC",2024-08-19,2024,34,"Pipiens","Pipiens","G","culex",50,1,25.06,8179.49,NA,NA
"CSU22851","FC-004","SE","FC",2024-08-20,2024,34,"Pipiens","Pipiens","L","culex",19,1,25.98,4276.07,NA,NA
"CSU22850","FC-004","SE","FC",2024-08-20,2024,34,"Tarsalis","Tarsalis","L","culex",10,0,39.31,0.35,NA,NA
"CSU22849","FC-023","SE","FC",2024-08-20,2024,34,"Pipiens","Pipiens","L","culex",8,0,55.55,0,NA,NA
"CSU22848","FC-023","SE","FC",2024-08-20,2024,34,"Tarsalis","Tarsalis","L","culex",14,0,55.55,0,NA,NA
"CSU22861","FC-088GR","SE","FC",2024-08-20,2024,34,"Pipiens","Pipiens","G","culex",50,1,27.44,1528.65,NA,NA
"CSU22863","FC-088GR","SE","FC",2024-08-20,2024,34,"Pipiens","Pipiens","G","culex",12,1,28.4,777.15,NA,NA
"CSU22902","FC-001","SW","FC",2024-08-22,2024,34,"Pipiens","Pipiens","L","culex",2,0,55.55,0,NA,NA
"CSU22912","FC-089GR","SW","FC",2024-08-22,2024,34,"Pipiens","Pipiens","G","culex",23,1,20.13,415667.75,NA,NA
"CSU22932","FC-006","NE","FC",2024-08-26,2024,35,"Pipiens","Pipiens","L","culex",1,0,55.55,0,NA,NA
"CSU22931","FC-006","NE","FC",2024-08-26,2024,35,"Tarsalis","Tarsalis","L","culex",3,0,55.55,0,NA,NA
"CSU22928","FC-014","NE","FC",2024-08-26,2024,35,"Pipiens","Pipiens","L","culex",21,0,55.55,0,NA,NA
"CSU22927","FC-014","NE","FC",2024-08-26,2024,35,"Tarsalis","Tarsalis","L","culex",2,0,55.55,0,NA,NA
"CSU22942","FC-019","NE","FC",2024-08-26,2024,35,"Pipiens","Pipiens","L","culex",7,1,23.1,48246.11,NA,NA
"CSU22922","FC-069","NE","FC",2024-08-26,2024,35,"Tarsalis","Tarsalis","L","culex",2,1,26.51,4506.6,NA,NA
"CSU22936","FC-072","NE","FC",2024-08-26,2024,35,"Tarsalis","Tarsalis","L","culex",5,1,28.04,1545.26,NA,NA
"CSU22935","FC-092GR","NE","FC",2024-08-26,2024,35,"Pipiens","Pipiens","G","culex",30,1,26.37,4970.19,NA,NA
"CSU23061","FC-014","NE","FC",2024-09-04,2024,36,"Pipiens","Pipiens","L","culex",7,0,37.54,1.28,NA,NA
"CSU23060","FC-014","NE","FC",2024-09-04,2024,36,"Tarsalis","Tarsalis","L","culex",4,0,36.26,3.1,NA,NA
"CSU23057","FC-019","NE","FC",2024-09-04,2024,36,"Pipiens","Pipiens","L","culex",9,0,55.55,0,NA,NA
"CSU23054","FC-040GR","NE","FC",2024-09-04,2024,36,"Pipiens","Pipiens","G","culex",50,1,23.46,23111.61,NA,NA
"CSU23055","FC-040GR","NE","FC",2024-09-04,2024,36,"Pipiens","Pipiens","G","culex",33,1,21.44,94103.07,NA,NA
"CSU23059","FC-066GR","NE","FC",2024-09-04,2024,36,"Pipiens","Pipiens","G","culex",22,1,22.65,40445.28,NA,NA
"CSU23036","FC-011","NW","FC",2024-09-04,2024,36,"Pipiens","Pipiens","L","culex",2,0,38.28,0.76,NA,NA
"CSU23035","FC-015","NW","FC",2024-09-04,2024,36,"Pipiens","Pipiens","L","culex",4,0,55.55,0,NA,NA
"CSU23052","FC-036","NW","FC",2024-09-04,2024,36,"Pipiens","Pipiens","L","culex",6,0,55.55,0,NA,NA
"CSU23039","FC-063GR","NW","FC",2024-09-04,2024,36,"Pipiens","Pipiens","G","culex",50,1,23.72,19249.72,NA,NA
"CSU23040","FC-063GR","NW","FC",2024-09-04,2024,36,"Pipiens","Pipiens","G","culex",50,1,19.46,372565.12,NA,NA
"CSU23041","FC-063GR","NW","FC",2024-09-04,2024,36,"Pipiens","Pipiens","G","culex",16,1,28.15,879.08,NA,NA
"CSU23087","FC-004","SE","FC",2024-09-05,2024,36,"Pipiens","Pipiens","L","culex",6,0,37.43,1.38,NA,NA
"CSU23086","FC-004","SE","FC",2024-09-05,2024,36,"Tarsalis","Tarsalis","L","culex",3,0,55.55,0,NA,NA
"CSU23100","FC-047","SE","FC",2024-09-05,2024,36,"Pipiens","Pipiens","L","culex",11,1,23.97,16210.9,NA,NA
"CSU23101","FC-088GR","SE","FC",2024-09-05,2024,36,"Pipiens","Pipiens","G","culex",13,1,21.49,91079.17,NA,NA
"CSU23123","FC-014","NE","FC",2024-09-09,2024,37,"Pipiens","Pipiens","L","culex",14,0,39.38,0.32,NA,NA
"CSU23119","FC-091GR","NE","FC",2024-09-09,2024,37,"Pipiens","Pipiens","G","culex",3,1,23.86,18979.53,NA,NA
"CSU23151","FC-011","NW","FC",2024-09-11,2024,37,"Pipiens","Pipiens","L","culex",5,0,55.55,0,NA,NA
"CSU23153","FC-090GR","NW","FC",2024-09-11,2024,37,"Pipiens","Pipiens","G","culex",31,1,26.68,2583.25,NA,NA
