"csu_id","trap_id","year","week","trap_date","county","method","spp","total","test_code","cq","copies_WNV","seq","zone","note"
"CSU6035","LV-104",2014,30,"2014-07-22","LC","L","Tarsalis",50,0,NA,NA,NA,"LV",NA
"CSU6036","LV-104",2014,30,"2014-07-22","LC","L","Tarsalis",17,0,NA,NA,NA,"LV",NA
"CSU6032","LV-104",2014,30,"2014-07-22","LC","L","Pipiens",1,0,NA,NA,NA,"LV",NA
"CSU6071","LV-110",2014,30,"2014-07-22","LC","L","Tarsalis",50,0,NA,NA,NA,"LV",NA
"CSU6072","LV-110",2014,30,"2014-07-22","LC","L","Tarsalis",11,0,NA,NA,NA,"LV",NA
"CSU6073","LV-110",2014,30,"2014-07-22","LC","L","Pipiens",1,0,NA,NA,NA,"LV",NA
"CSU6118","LV-114",2014,30,"2014-07-23","LC","L","Tarsalis",40,0,NA,NA,NA,"LV",NA
"CSU00000","LV-114",2014,30,"2014-07-23","LC","L","Pipiens",0,NA,NA,NA,NA,"LV",NA
"CSU6133","LV-120",2014,30,"2014-07-23","LC","L","Tarsalis",50,0,NA,NA,NA,"LV",NA
"CSU6134","LV-120",2014,30,"2014-07-23","LC","L","Tarsalis",47,0,NA,NA,NA,"LV",NA
"CSU6132","LV-120",2014,30,"2014-07-23","LC","L","Pipiens",1,0,NA,NA,NA,"LV",NA
"CSU6055","LV-123",2014,30,"2014-07-22","LC","L","Tarsalis",50,0,NA,NA,NA,"LV",NA
"CSU6056","LV-123",2014,30,"2014-07-22","LC","L","Tarsalis",50,0,NA,NA,NA,"LV",NA
"CSU6057","LV-123",2014,30,"2014-07-22","LC","L","Tarsalis",50,0,NA,NA,NA,"LV",NA
"CSU6058","LV-123",2014,30,"2014-07-22","LC","L","Tarsalis",50,1,NA,NA,NA,"LV",NA
"CSU6059","LV-123",2014,30,"2014-07-22","LC","L","Tarsalis",50,0,NA,NA,NA,"LV",NA
"CSU6060","LV-123",2014,30,"2014-07-22","LC","L","Tarsalis",50,0,NA,NA,NA,"LV",NA
"CSU6061","LV-123",2014,30,"2014-07-22","LC","L","Tarsalis",50,0,NA,NA,NA,"LV",NA
"CSU6062","LV-123",2014,30,"2014-07-22","LC","L","Tarsalis",50,0,NA,NA,NA,"LV",NA
"CSU6063","LV-123",2014,30,"2014-07-22","LC","L","Tarsalis",11,0,NA,NA,NA,"LV",NA
"CSU6054","LV-123",2014,30,"2014-07-22","LC","L","Pipiens",36,0,NA,NA,NA,"LV",NA
"CSU6005","FC-006",2014,30,"2014-07-21","LC","L","Tarsalis",50,0,NA,NA,NA,"NE",NA
"CSU6006","FC-006",2014,30,"2014-07-21","LC","L","Tarsalis",50,0,NA,NA,NA,"NE",NA
"CSU6007","FC-006",2014,30,"2014-07-21","LC","L","Tarsalis",50,0,NA,NA,NA,"NE",NA
"CSU6008","FC-006",2014,30,"2014-07-21","LC","L","Tarsalis",50,0,NA,NA,NA,"NE",NA
"CSU6009","FC-006",2014,30,"2014-07-21","LC","L","Tarsalis",50,0,NA,NA,NA,"NE",NA
"CSU6010","FC-006",2014,30,"2014-07-21","LC","L","Tarsalis",50,0,NA,NA,NA,"NE",NA
"CSU6011","FC-006",2014,30,"2014-07-21","LC","L","Tarsalis",38,0,NA,NA,NA,"NE",NA
"CSU6012","FC-006",2014,30,"2014-07-21","LC","L","Pipiens",49,0,NA,NA,NA,"NE",NA
"CSU6013","FC-006",2014,30,"2014-07-21","LC","L","Pipiens",2,0,NA,NA,NA,"NE",NA
"CSU6018","FC-014",2014,30,"2014-07-22","LC","L","Tarsalis",50,0,NA,NA,NA,"NE",NA
"CSU6019","FC-014",2014,30,"2014-07-22","LC","L","Tarsalis",50,0,NA,NA,NA,"NE",NA
"CSU6020","FC-014",2014,30,"2014-07-22","LC","L","Tarsalis",50,0,NA,NA,NA,"NE",NA
"CSU6021","FC-014",2014,30,"2014-07-22","LC","L","Tarsalis",43,0,NA,NA,NA,"NE",NA
"CSU6022","FC-014",2014,30,"2014-07-22","LC","L","Pipiens",4,0,NA,NA,NA,"NE",NA
"CSU6023","FC-014",2014,30,"2014-07-22","LC","L","Pipiens",6,0,NA,NA,NA,"NE",NA
"CSU5982","FC-019",2014,30,"2014-07-21","LC","L","Tarsalis",50,0,NA,NA,NA,"NE",NA
"CSU5983","FC-019",2014,30,"2014-07-21","LC","L","Tarsalis",50,0,NA,NA,NA,"NE",NA
"CSU5984","FC-019",2014,30,"2014-07-21","LC","L","Tarsalis",20,0,NA,NA,NA,"NE",NA
"CSU5981","FC-019",2014,30,"2014-07-21","LC","L","Pipiens",18,0,NA,NA,NA,"NE",NA
"CSU5956","FC-034",2014,30,"2014-07-21","LC","L","Tarsalis",34,0,NA,NA,NA,"NE",NA
"CSU00000","FC-034",2014,30,"2014-07-21","LC","L","Pipiens",0,NA,NA,NA,NA,"NE",NA
"CSU5941","FC-038",2014,30,"2014-07-21","LC","L","Tarsalis",50,0,NA,NA,NA,"NE",NA
"CSU5942","FC-038",2014,30,"2014-07-21","LC","L","Tarsalis",50,0,NA,NA,NA,"NE",NA
"CSU5943","FC-038",2014,30,"2014-07-21","LC","L","Tarsalis",50,0,NA,NA,NA,"NE",NA
"CSU5944","FC-038",2014,30,"2014-07-21","LC","L","Tarsalis",50,0,NA,NA,NA,"NE",NA
"CSU5945","FC-038",2014,30,"2014-07-21","LC","L","Tarsalis",48,0,NA,NA,NA,"NE",NA
"CSU5940","FC-038",2014,30,"2014-07-21","LC","L","Pipiens",11,0,NA,NA,NA,"NE",NA
"CSU5994","FC-040",2014,30,"2014-07-21","LC","L","Tarsalis",50,0,NA,NA,NA,"NE",NA
"CSU5995","FC-040",2014,30,"2014-07-21","LC","L","Tarsalis",47,0,NA,NA,NA,"NE",NA
"CSU5960","FC-040",2014,30,"2014-07-21","LC","L","Pipiens",8,0,NA,NA,NA,"NE",NA
"CSU5996","FC-040",2014,30,"2014-07-21","LC","L","Pipiens",6,0,NA,NA,NA,"NE",NA
"CSU00000","FC-040GR",2014,30,"2014-07-21","LC","G","Tarsalis",0,NA,NA,NA,NA,"NE",NA
"CSU00000","FC-040GR",2014,30,"2014-07-21","LC","G","Pipiens",0,NA,NA,NA,NA,"NE",NA
"CSU5961","FC-066",2014,30,"2014-07-21","LC","L","Tarsalis",2,0,NA,NA,NA,"NE",NA
"CSU5963","FC-066",2014,30,"2014-07-21","LC","L","Tarsalis",50,0,NA,NA,NA,"NE",NA
"CSU5964","FC-066",2014,30,"2014-07-21","LC","L","Tarsalis",50,0,NA,NA,NA,"NE",NA
"CSU5965","FC-066",2014,30,"2014-07-21","LC","L","Tarsalis",50,0,NA,NA,NA,"NE",NA
"CSU5966","FC-066",2014,30,"2014-07-21","LC","L","Tarsalis",23,0,NA,NA,NA,"NE",NA
"CSU5962","FC-066",2014,30,"2014-07-21","LC","L","Pipiens",11,0,NA,NA,NA,"NE",NA
"CSU5967","FC-066",2014,30,"2014-07-21","LC","L","Pipiens",42,0,NA,NA,NA,"NE",NA
"CSU00000","FC-066GR",2014,30,"2014-07-21","LC","G","Tarsalis",0,NA,NA,NA,NA,"NE",NA
"CSU00000","FC-066GR",2014,30,"2014-07-21","LC","G","Pipiens",0,NA,NA,NA,NA,"NE",NA
"CSU5968","FC-067",2014,30,"2014-07-21","LC","L","Tarsalis",50,0,NA,NA,NA,"NE",NA
"CSU5969","FC-067",2014,30,"2014-07-21","LC","L","Tarsalis",50,0,NA,NA,NA,"NE",NA
"CSU5970","FC-067",2014,30,"2014-07-21","LC","L","Tarsalis",50,0,NA,NA,NA,"NE",NA
"CSU5971","FC-067",2014,30,"2014-07-21","LC","L","Tarsalis",50,0,NA,NA,NA,"NE",NA
"CSU5972","FC-067",2014,30,"2014-07-21","LC","L","Tarsalis",50,0,NA,NA,NA,"NE",NA
"CSU5973","FC-067",2014,30,"2014-07-21","LC","L","Tarsalis",50,0,NA,NA,NA,"NE",NA
"CSU5974","FC-067",2014,30,"2014-07-21","LC","L","Tarsalis",50,0,NA,NA,NA,"NE",NA
"CSU5975","FC-067",2014,30,"2014-07-21","LC","L","Tarsalis",50,0,NA,NA,NA,"NE",NA
"CSU5976","FC-067",2014,30,"2014-07-21","LC","L","Tarsalis",50,0,NA,NA,NA,"NE",NA
"CSU5977","FC-067",2014,30,"2014-07-21","LC","L","Tarsalis",50,0,NA,NA,NA,"NE",NA
"CSU5978","FC-067",2014,30,"2014-07-21","LC","L","Tarsalis",50,0,NA,NA,NA,"NE",NA
"CSU5979","FC-067",2014,30,"2014-07-21","LC","L","Tarsalis",46,0,NA,NA,NA,"NE",NA
"CSU5980","FC-067",2014,30,"2014-07-21","LC","L","Pipiens",17,0,NA,NA,NA,"NE",NA
"CSU5985","FC-069",2014,30,"2014-07-21","LC","L","Tarsalis",50,0,NA,NA,NA,"NE",NA
"CSU5986","FC-069",2014,30,"2014-07-21","LC","L","Tarsalis",41,0,NA,NA,NA,"NE",NA
"CSU5987","FC-069",2014,30,"2014-07-21","LC","L","Pipiens",3,0,NA,NA,NA,"NE",NA
"CSU5997","FC-072",2014,30,"2014-07-21","LC","L","Tarsalis",50,0,NA,NA,NA,"NE",NA
"CSU5998","FC-072",2014,30,"2014-07-21","LC","L","Tarsalis",50,0,NA,NA,NA,"NE",NA
"CSU5999","FC-072",2014,30,"2014-07-21","LC","L","Tarsalis",50,0,NA,NA,NA,"NE",NA
"CSU6000","FC-072",2014,30,"2014-07-21","LC","L","Tarsalis",50,0,NA,NA,NA,"NE",NA
"CSU6001","FC-072",2014,30,"2014-07-21","LC","L","Tarsalis",50,0,NA,NA,NA,"NE",NA
"CSU6002","FC-072",2014,30,"2014-07-21","LC","L","Tarsalis",50,0,NA,NA,NA,"NE",NA
"CSU6003","FC-072",2014,30,"2014-07-21","LC","L","Tarsalis",4,0,NA,NA,NA,"NE",NA
"CSU6004","FC-072",2014,30,"2014-07-21","LC","L","Pipiens",12,0,NA,NA,NA,"NE",NA
"CSU5958","FC-091GR",2014,30,"2014-07-21","LC","G","Tarsalis",2,0,NA,NA,NA,"NE",NA
"CSU5957","FC-091GR",2014,30,"2014-07-21","LC","G","Pipiens",7,0,NA,NA,NA,"NE",NA
"CSU00000","FC-092GR",2014,30,"2014-07-21","LC","G","Tarsalis",0,NA,NA,NA,NA,"NE",NA
"CSU00000","FC-092GR",2014,30,"2014-07-21","LC","G","Pipiens",0,NA,NA,NA,NA,"NE",NA
"CSU6137","FC-011",2014,30,"2014-07-23","LC","L","Tarsalis",7,0,NA,NA,NA,"NW",NA
"CSU6138","FC-011",2014,30,"2014-07-23","LC","L","Pipiens",3,0,NA,NA,NA,"NW",NA
"CSU6131","FC-015",2014,30,"2014-07-23","LC","L","Tarsalis",19,0,NA,NA,NA,"NW",NA
"CSU00000","FC-015",2014,30,"2014-07-23","LC","L","Pipiens",0,NA,NA,NA,NA,"NW",NA
"CSU5988","FC-036",2014,30,"2014-07-21","LC","L","Tarsalis",50,0,NA,NA,NA,"NW",NA
"CSU5989","FC-036",2014,30,"2014-07-21","LC","L","Tarsalis",50,0,NA,NA,NA,"NW",NA
"CSU5990","FC-036",2014,30,"2014-07-21","LC","L","Tarsalis",50,0,NA,NA,NA,"NW",NA
"CSU5991","FC-036",2014,30,"2014-07-21","LC","L","Tarsalis",11,0,NA,NA,NA,"NW",NA
"CSU5992","FC-036",2014,30,"2014-07-21","LC","L","Pipiens",1,0,NA,NA,NA,"NW",NA
"CSU5993","FC-036",2014,30,"2014-07-21","LC","L","Pipiens",3,0,NA,NA,NA,"NW",NA
"CSU6143","FC-041",2014,30,"2014-07-23","LC","L","Tarsalis",50,0,NA,NA,NA,"NW",NA
"CSU6144","FC-041",2014,30,"2014-07-23","LC","L","Tarsalis",50,0,NA,NA,NA,"NW",NA
"CSU6145","FC-041",2014,30,"2014-07-23","LC","L","Tarsalis",50,0,NA,NA,NA,"NW",NA
"CSU6146","FC-041",2014,30,"2014-07-23","LC","L","Tarsalis",50,0,NA,NA,NA,"NW",NA
"CSU6147","FC-041",2014,30,"2014-07-23","LC","L","Tarsalis",50,0,NA,NA,NA,"NW",NA
"CSU6148","FC-041",2014,30,"2014-07-23","LC","L","Tarsalis",50,0,NA,NA,NA,"NW",NA
"CSU6149","FC-041",2014,30,"2014-07-23","LC","L","Tarsalis",5,0,NA,NA,NA,"NW",NA
"CSU6150","FC-041",2014,30,"2014-07-23","LC","L","Pipiens",16,0,NA,NA,NA,"NW",NA
"CSU6114","FC-049",2014,30,"2014-07-23","LC","L","Tarsalis",36,0,NA,NA,NA,"NW",NA
"CSU6115","FC-049",2014,30,"2014-07-23","LC","L","Pipiens",7,0,NA,NA,NA,"NW",NA
"CSU6123","FC-052",2014,30,"2014-07-23","LC","L","Tarsalis",50,0,NA,NA,NA,"NW",NA
"CSU6124","FC-052",2014,30,"2014-07-23","LC","L","Tarsalis",30,0,NA,NA,NA,"NW",NA
"CSU6125","FC-052",2014,30,"2014-07-23","LC","L","Pipiens",2,0,NA,NA,NA,"NW",NA
"CSU6139","FC-061",2014,30,"2014-07-23","LC","L","Tarsalis",50,0,NA,NA,NA,"NW",NA
"CSU6140","FC-061",2014,30,"2014-07-23","LC","L","Tarsalis",50,0,NA,NA,NA,"NW",NA
"CSU6141","FC-061",2014,30,"2014-07-23","LC","L","Tarsalis",3,0,NA,NA,NA,"NW",NA
"CSU6142","FC-061",2014,30,"2014-07-23","LC","L","Pipiens",3,0,NA,NA,NA,"NW",NA
"CSU6135","FC-063",2014,30,"2014-07-23","LC","L","Tarsalis",19,0,NA,NA,NA,"NW",NA
"CSU6110","FC-063",2014,30,"2014-07-23","LC","L","Pipiens",20,0,NA,NA,NA,"NW",NA
"CSU00000","FC-063GR",2014,30,"2014-07-23","LC","G","Tarsalis",0,NA,NA,NA,NA,"NW",NA
"CSU00000","FC-063GR",2014,30,"2014-07-23","LC","G","Pipiens",0,NA,NA,NA,NA,"NW",NA
"CSU6111","FC-073",2014,30,"2014-07-23","LC","L","Tarsalis",50,0,NA,NA,NA,"NW",NA
"CSU6112","FC-073",2014,30,"2014-07-23","LC","L","Tarsalis",44,0,NA,NA,NA,"NW",NA
"CSU6113","FC-073",2014,30,"2014-07-23","LC","L","Pipiens",9,0,NA,NA,NA,"NW",NA
"CSU00000","FC-090GR",2014,30,"2014-07-23","LC","G","Tarsalis",0,NA,NA,NA,NA,"NW",NA
"CSU6108","FC-090GR",2014,30,"2014-07-23","LC","G","Pipiens",50,0,NA,NA,NA,"NW",NA
"CSU6109","FC-090GR",2014,30,"2014-07-23","LC","G","Pipiens",17,0,NA,NA,NA,"NW",NA
"CSU5949","FC-004",2014,30,"2014-07-21","LC","L","Tarsalis",50,0,NA,NA,NA,"SE",NA
"CSU5950","FC-004",2014,30,"2014-07-21","LC","L","Tarsalis",50,0,NA,NA,NA,"SE",NA
"CSU5951","FC-004",2014,30,"2014-07-21","LC","L","Tarsalis",50,0,NA,NA,NA,"SE",NA
"CSU5952","FC-004",2014,30,"2014-07-21","LC","L","Tarsalis",50,1,NA,NA,NA,"SE",NA
"CSU5953","FC-004",2014,30,"2014-07-21","LC","L","Tarsalis",50,0,NA,NA,NA,"SE",NA
"CSU5954","FC-004",2014,30,"2014-07-21","LC","L","Tarsalis",18,0,NA,NA,NA,"SE",NA
"CSU5955","FC-004",2014,30,"2014-07-21","LC","L","Pipiens",28,0,NA,NA,NA,"SE",NA
"CSU6077","FC-023",2014,30,"2014-07-22","LC","L","Tarsalis",50,0,NA,NA,NA,"SE",NA
"CSU6078","FC-023",2014,30,"2014-07-22","LC","L","Tarsalis",50,0,NA,NA,NA,"SE",NA
"CSU6079","FC-023",2014,30,"2014-07-22","LC","L","Tarsalis",50,0,NA,NA,NA,"SE",NA
"CSU6080","FC-023",2014,30,"2014-07-22","LC","L","Tarsalis",41,0,NA,NA,NA,"SE",NA
"CSU6081","FC-023",2014,30,"2014-07-22","LC","L","Pipiens",9,0,NA,NA,NA,"SE",NA
"CSU6087","FC-027",2014,30,"2014-07-22","LC","L","Tarsalis",50,0,NA,NA,NA,"SE",NA
"CSU6088","FC-027",2014,30,"2014-07-22","LC","L","Tarsalis",50,0,NA,NA,NA,"SE",NA
"CSU6089","FC-027",2014,30,"2014-07-22","LC","L","Tarsalis",50,0,NA,NA,NA,"SE",NA
"CSU6090","FC-027",2014,30,"2014-07-22","LC","L","Tarsalis",50,0,NA,NA,NA,"SE",NA
"CSU6091","FC-027",2014,30,"2014-07-22","LC","L","Tarsalis",50,0,NA,NA,NA,"SE",NA
"CSU6092","FC-027",2014,30,"2014-07-22","LC","L","Tarsalis",50,0,NA,NA,NA,"SE",NA
"CSU6093","FC-027",2014,30,"2014-07-22","LC","L","Tarsalis",50,0,NA,NA,NA,"SE",NA
"CSU6094","FC-027",2014,30,"2014-07-22","LC","L","Tarsalis",50,0,NA,NA,NA,"SE",NA
"CSU6095","FC-027",2014,30,"2014-07-22","LC","L","Tarsalis",52,0,NA,NA,NA,"SE",NA
"CSU6096","FC-027",2014,30,"2014-07-22","LC","L","Pipiens",30,0,NA,NA,NA,"SE",NA
"CSU6164","FC-029",2014,30,"2014-07-24","LC","L","Tarsalis",1,0,NA,NA,NA,"SE",NA
"CSU6171","FC-029",2014,30,"2014-07-24","LC","L","Tarsalis",50,0,NA,NA,NA,"SE",NA
"CSU6172","FC-029",2014,30,"2014-07-24","LC","L","Tarsalis",21,0,NA,NA,NA,"SE",NA
"CSU6161","FC-029",2014,30,"2014-07-24","LC","L","Pipiens",50,0,NA,NA,NA,"SE",NA
"CSU6162","FC-029",2014,30,"2014-07-24","LC","L","Pipiens",50,0,NA,NA,NA,"SE",NA
"CSU6163","FC-029",2014,30,"2014-07-24","LC","L","Pipiens",39,0,NA,NA,NA,"SE",NA
"CSU6173","FC-029",2014,30,"2014-07-24","LC","L","Pipiens",4,0,NA,NA,NA,"SE",NA
"CSU00000","FC-029GR",2014,30,"2014-07-24","LC","G","Tarsalis",0,NA,NA,NA,NA,"SE",NA
"CSU00000","FC-029GR",2014,30,"2014-07-24","LC","G","Pipiens",0,NA,NA,NA,NA,"SE",NA
"CSU6024","FC-031",2014,30,"2014-07-22","LC","L","Tarsalis",50,0,NA,NA,NA,"SE",NA
"CSU6025","FC-031",2014,30,"2014-07-22","LC","L","Tarsalis",50,0,NA,NA,NA,"SE",NA
"CSU6026","FC-031",2014,30,"2014-07-22","LC","L","Tarsalis",50,0,NA,NA,NA,"SE",NA
"CSU6027","FC-031",2014,30,"2014-07-22","LC","L","Tarsalis",50,0,NA,NA,NA,"SE",NA
"CSU6028","FC-031",2014,30,"2014-07-22","LC","L","Tarsalis",50,0,NA,NA,NA,"SE",NA
"CSU6029","FC-031",2014,30,"2014-07-22","LC","L","Tarsalis",50,0,NA,NA,NA,"SE",NA
"CSU6030","FC-031",2014,30,"2014-07-22","LC","L","Tarsalis",28,0,NA,NA,NA,"SE",NA
"CSU6031","FC-031",2014,30,"2014-07-22","LC","L","Pipiens",6,0,NA,NA,NA,"SE",NA
"CSU6015","FC-039",2014,30,"2014-07-22","LC","L","Tarsalis",50,0,NA,NA,NA,"SE",NA
"CSU6016","FC-039",2014,30,"2014-07-22","LC","L","Tarsalis",50,0,NA,NA,NA,"SE",NA
"CSU6017","FC-039",2014,30,"2014-07-22","LC","L","Tarsalis",43,1,NA,NA,NA,"SE",NA
"CSU00000","FC-039",2014,30,"2014-07-22","LC","L","Pipiens",0,NA,NA,NA,NA,"SE",NA
"CSU6039","FC-046",2014,30,"2014-07-22","LC","L","Tarsalis",50,0,NA,NA,NA,"SE",NA
"CSU6040","FC-046",2014,30,"2014-07-22","LC","L","Tarsalis",50,0,NA,NA,NA,"SE",NA
"CSU6041","FC-046",2014,30,"2014-07-22","LC","L","Tarsalis",29,0,NA,NA,NA,"SE",NA
"CSU6042","FC-046",2014,30,"2014-07-22","LC","L","Pipiens",7,0,NA,NA,NA,"SE",NA
"CSU6037","FC-047",2014,30,"2014-07-22","LC","L","Tarsalis",45,0,NA,NA,NA,"SE",NA
"CSU6038","FC-047",2014,30,"2014-07-22","LC","L","Pipiens",1,0,NA,NA,NA,"SE",NA
"CSU6048","FC-050",2014,30,"2014-07-22","LC","L","Tarsalis",50,0,NA,NA,NA,"SE",NA
"CSU6049","FC-050",2014,30,"2014-07-22","LC","L","Tarsalis",50,0,NA,NA,NA,"SE",NA
"CSU6050","FC-050",2014,30,"2014-07-22","LC","L","Tarsalis",50,0,NA,NA,NA,"SE",NA
"CSU6051","FC-050",2014,30,"2014-07-22","LC","L","Tarsalis",50,0,NA,NA,NA,"SE",NA
"CSU6052","FC-050",2014,30,"2014-07-22","LC","L","Tarsalis",8,0,NA,NA,NA,"SE",NA
"CSU6053","FC-050",2014,30,"2014-07-22","LC","L","Pipiens",24,0,NA,NA,NA,"SE",NA
"CSU5934","FC-053",2014,30,"2014-07-21","LC","L","Tarsalis",50,0,NA,NA,NA,"SE",NA
"CSU5935","FC-053",2014,30,"2014-07-21","LC","L","Tarsalis",50,0,NA,NA,NA,"SE",NA
"CSU5936","FC-053",2014,30,"2014-07-21","LC","L","Tarsalis",50,0,NA,NA,NA,"SE",NA
"CSU5937","FC-053",2014,30,"2014-07-21","LC","L","Tarsalis",34,0,NA,NA,NA,"SE",NA
"CSU5938","FC-053",2014,30,"2014-07-21","LC","L","Pipiens",3,0,NA,NA,NA,"SE",NA
"CSU5939","FC-053",2014,30,"2014-07-21","LC","L","Pipiens",2,0,NA,NA,NA,"SE",NA
"CSU6168","FC-054",2014,30,"2014-07-24","LC","L","Tarsalis",20,0,NA,NA,NA,"SE",NA
"CSU00000","FC-054",2014,30,"2014-07-24","LC","L","Pipiens",0,NA,NA,NA,NA,"SE",NA
"CSU6074","FC-059",2014,30,"2014-07-22","LC","L","Tarsalis",50,0,NA,NA,NA,"SE",NA
"CSU6075","FC-059",2014,30,"2014-07-22","LC","L","Tarsalis",7,0,NA,NA,NA,"SE",NA
"CSU6076","FC-059",2014,30,"2014-07-22","LC","L","Pipiens",1,0,NA,NA,NA,"SE",NA
"CSU6097","FC-064",2014,30,"2014-07-22","LC","L","Tarsalis",50,0,NA,NA,NA,"SE",NA
"CSU6098","FC-064",2014,30,"2014-07-22","LC","L","Tarsalis",50,0,NA,NA,NA,"SE",NA
"CSU6099","FC-064",2014,30,"2014-07-22","LC","L","Tarsalis",50,1,NA,NA,NA,"SE",NA
"CSU6100","FC-064",2014,30,"2014-07-22","LC","L","Tarsalis",50,0,NA,NA,NA,"SE",NA
"CSU6101","FC-064",2014,30,"2014-07-22","LC","L","Tarsalis",50,0,NA,NA,NA,"SE",NA
"CSU6102","FC-064",2014,30,"2014-07-22","LC","L","Tarsalis",50,0,NA,NA,NA,"SE",NA
"CSU6103","FC-064",2014,30,"2014-07-22","LC","L","Tarsalis",50,0,NA,NA,NA,"SE",NA
"CSU6104","FC-064",2014,30,"2014-07-22","LC","L","Tarsalis",50,0,NA,NA,NA,"SE",NA
"CSU6105","FC-064",2014,30,"2014-07-22","LC","L","Tarsalis",50,0,NA,NA,NA,"SE",NA
"CSU6106","FC-064",2014,30,"2014-07-22","LC","L","Tarsalis",21,0,NA,NA,NA,"SE",NA
"CSU6107","FC-064",2014,30,"2014-07-22","LC","L","Pipiens",10,0,NA,NA,NA,"SE",NA
"CSU6082","FC-074",2014,30,"2014-07-22","LC","L","Tarsalis",50,0,NA,NA,NA,"SE",NA
"CSU6083","FC-074",2014,30,"2014-07-22","LC","L","Tarsalis",50,0,NA,NA,NA,"SE",NA
"CSU6084","FC-074",2014,30,"2014-07-22","LC","L","Tarsalis",50,0,NA,NA,NA,"SE",NA
"CSU6085","FC-074",2014,30,"2014-07-22","LC","L","Tarsalis",50,0,NA,NA,NA,"SE",NA
"CSU6086","FC-074",2014,30,"2014-07-22","LC","L","Tarsalis",8,0,NA,NA,NA,"SE",NA
"CSU00000","FC-074",2014,30,"2014-07-22","LC","L","Pipiens",0,NA,NA,NA,NA,"SE",NA
"CSU6046","FC-075",2014,30,"2014-07-22","LC","L","Tarsalis",1,0,NA,NA,NA,"SE",NA
"CSU6065","FC-075",2014,30,"2014-07-22","LC","L","Tarsalis",50,0,NA,NA,NA,"SE",NA
"CSU6066","FC-075",2014,30,"2014-07-22","LC","L","Tarsalis",50,0,NA,NA,NA,"SE",NA
"CSU6067","FC-075",2014,30,"2014-07-22","LC","L","Tarsalis",50,0,NA,NA,NA,"SE",NA
"CSU6068","FC-075",2014,30,"2014-07-22","LC","L","Tarsalis",50,0,NA,NA,NA,"SE",NA
"CSU6069","FC-075",2014,30,"2014-07-22","LC","L","Tarsalis",50,0,NA,NA,NA,"SE",NA
"CSU6070","FC-075",2014,30,"2014-07-22","LC","L","Tarsalis",50,0,NA,NA,NA,"SE",NA
"CSU6047","FC-075",2014,30,"2014-07-22","LC","L","Pipiens",18,0,NA,NA,NA,"SE",NA
"CSU6064","FC-075",2014,30,"2014-07-22","LC","L","Pipiens",5,0,NA,NA,NA,"SE",NA
"CSU00000","FC-075GR",2014,30,"2014-07-22","LC","G","Tarsalis",0,NA,NA,NA,NA,"SE",NA
"CSU00000","FC-075GR",2014,30,"2014-07-22","LC","G","Pipiens",0,NA,NA,NA,NA,"SE",NA
"CSU6045","FC-088GR",2014,30,"2014-07-22","LC","G","Tarsalis",1,0,NA,NA,NA,"SE",NA
"CSU6043","FC-088GR",2014,30,"2014-07-22","LC","G","Pipiens",50,0,NA,NA,NA,"SE",NA
