date_trap_set,contract,location,zone,mosquito_species,mosquito_count,trap_type,trap_name,
9/4/2024,Fort Collins,808 Ponderosa,NW,Culex tarsalis,1,CDC Light Trap,FC-060,
9/4/2024,Fort Collins,Holley Plant Research Center,NW,Culex pipiens,5,CDC Light Trap,FC-061,
9/4/2024,Fort Collins,Holley Plant Research Center,NW,Culex tarsalis,1,CDC Light Trap,FC-061,
9/4/2024,Fort Collins,Red Fox Meadows,NW,No Mosquitoes,0,CDC Light Trap,FC-063,
9/4/2024,Fort Collins,Red Fox Meadows Gravid,NW,Culex pipiens,116,Gravid Trap,FC-063gr,
9/4/2024,Fort Collins,Prospect Ponds,NE,Culex pipiens,88,CDC Light Trap,FC-066,
9/4/2024,Fort Collins,Prospect Ponds,NE,Culex tarsalis,13,CDC Light Trap,FC-066,
9/4/2024,Fort Collins,Prospect Ponds Gravid,NE,Culex pipiens,22,Gravid Trap,FC-066gr,
9/4/2024,Fort Collins,Poudre River Trail,NE,Culex pipiens,2,CDC Light Trap,FC-067,
9/4/2024,Fort Collins,Poudre River Trail,NE,Culex tarsalis,7,CDC Light Trap,FC-067,
9/4/2024,Fort Collins,Linden Lake Rd,NE,Culex tarsalis,6,CDC Light Trap,FC-069,
9/4/2024,Fort Collins,422 Lake Dr,NE,Culex tarsalis,3,CDC Light Trap,FC-072,
9/4/2024,Fort Collins,422 Lake Dr,NE,Culex pipiens,17,CDC Light Trap,FC-072,
9/4/2024,Fort Collins,118 S Grant ,NW,Culex pipiens,1,CDC Light Trap,FC-073,
9/4/2024,Fort Collins,Mountain Grandview Cemetery Gravid,NW,Culex tarsalis,1,Gravid Trap,FC-090gr,
9/4/2024,Fort Collins,Mountain Grandview Cemetery Gravid,NW,Culex pipiens,50,Gravid Trap,FC-090gr,
9/4/2024,Fort Collins,PVH Gravid,NE,Culex pipiens,20,Gravid Trap,FC-091gr,
9/4/2024,Fort Collins,Udall Natural Gravid,NE,Culex pipiens,41,Gravid Trap,FC-092gr,
9/5/2024,Fort Collins,Magic Carpet,SW,Culex pipiens,2,CDC Light Trap,FC-001,
9/5/2024,Fort Collins,Big Horn,SE,Culex tarsalis,3,CDC Light Trap,FC-004,
9/5/2024,Fort Collins,Big Horn,SE,Culex pipiens,6,CDC Light Trap,FC-004,
9/5/2024,Fort Collins,Boltz,SE,Culex pipiens,3,CDC Light Trap,FC-023,
9/5/2024,Fort Collins,3001 San Luis,SE,Culex pipiens,16,CDC Light Trap,FC-027,
9/5/2024,Fort Collins,3001 San Luis,SE,Culex tarsalis,2,CDC Light Trap,FC-027,
9/5/2024,Fort Collins,Ben's Park,SE,Culex tarsalis,4,CDC Light Trap,FC-029,
9/5/2024,Fort Collins,Ben's Park,SE,Culex pipiens,1,CDC Light Trap,FC-029,
9/5/2024,Fort Collins,Ben's Park Gravid,SE,Culex pipiens,21,Gravid Trap,FC-029gr,
9/5/2024,Fort Collins,Willow Springs,SE,Culex pipiens,3,CDC Light Trap,FC-031,
9/5/2024,Fort Collins,Willow Springs,SE,Culex tarsalis,5,CDC Light Trap,FC-031,
9/5/2024,Fort Collins,Chelsea Ridge,SW,Culex pipiens,1,CDC Light Trap,FC-037,
9/5/2024,Fort Collins,Fossil Creek South,SE,Culex tarsalis,1,CDC Light Trap,FC-039,
9/5/2024,Fort Collins,Westshore Ct,SE,Culex pipiens,3,CDC Light Trap,FC-046,
9/5/2024,Fort Collins,Keeneland And Twin Oak,SE,Culex tarsalis,5,CDC Light Trap,FC-047,
9/5/2024,Fort Collins,Keeneland And Twin Oak,SE,Culex pipiens,11,CDC Light Trap,FC-047,
9/5/2024,Fort Collins,Golden Meadows Ditch,SE,Culex pipiens,2,CDC Light Trap,FC-050,
9/5/2024,Fort Collins,Egret and Rookery,SE,Culex pipiens,3,CDC Light Trap,FC-053,
9/5/2024,Fort Collins,Egret and Rookery,SE,Culex tarsalis,17,CDC Light Trap,FC-053,
9/5/2024,Fort Collins,Registry Ridge,SW,Culex pipiens,1,CDC Light Trap,FC-057,
9/5/2024,Fort Collins,Springwood and Lochwood,SE,Culex pipiens,2,CDC Light Trap,FC-059,
9/5/2024,Fort Collins,Springwood and Lochwood,SE,Culex tarsalis,1,CDC Light Trap,FC-059,
9/5/2024,Fort Collins,Water's Edge at Blue Mesa,SW,Culex tarsalis,2,CDC Light Trap,FC-062,
9/5/2024,Fort Collins,Water's Edge at Blue Mesa,SW,Culex pipiens,1,CDC Light Trap,FC-062,
9/5/2024,Fort Collins,West Chase,SE,Culex tarsalis,4,CDC Light Trap,FC-064,
9/5/2024,Fort Collins,West Chase,SE,Culex pipiens,9,CDC Light Trap,FC-064,
9/5/2024,Fort Collins,5029 Crest Dr,SW,Culex tarsalis,1,CDC Light Trap,FC-068,
9/5/2024,Fort Collins,Silvergate Rd,SW,Culex pipiens,1,CDC Light Trap,FC-071,
9/5/2024,Fort Collins,Rock Creek,SE,Culex pipiens,4,CDC Light Trap,FC-074,
9/5/2024,Fort Collins,Rock Creek,SE,Culex tarsalis,11,CDC Light Trap,FC-074,
9/5/2024,Fort Collins,Sage Creek North,SE,Culex pipiens,18,CDC Light Trap,FC-075,
9/5/2024,Fort Collins,Sage Creek North,SE,Culex tarsalis,2,CDC Light Trap,FC-075,
9/5/2024,Fort Collins,Sage Creek North Gravid,SE,Culex pipiens,5,Gravid Trap,FC-075gr,
9/5/2024,Fort Collins,English Ranch Park Gravid,SE,Culex pipiens,13,Gravid Trap,FC-088gr,
9/5/2024,Fort Collins,Kunz Ct. and Brook Dr. Gravid,SW,Culex pipiens,11,Gravid Trap,FC-089gr,
