"","trap_id","method","zone.x","active","lat","long","start"
"47","LV-104","L","LV",1,40.396854,-105.020915,2013
"48","LV-105","L","LV",0,40.436464,-105.08396,NA
"49","LV-110","L","LV",1,40.400764,-105.122681,2013
"50","LV-112","L","LV",0,40.387276,-105.054451,NA
"51","LV-113","L","LV",0,40.389543,-105.156293,NA
"52","LV-114","L","LV",0,40.37876,-105.119912,2014
"53","LV-116","L","LV",0,40.438926,-105.068446,NA
"54","LV-117","L","LV",0,40.412278,-104.989419,NA
"55","LV-118","L","LV",0,40.40088,-105.136981,NA
"56","LV-120","L","LV",0,40.363996,-105.102996,2014
"57","LV-121","L","LV",0,40.42641,-105.122639,NA
"58","LV-122","L","LV",0,40.445385,-105.091347,NA
"59","LV-123","L","LV",0,40.396389,-105.073908,2014
"60","LV-124","L","LV",0,40.38387,-105.079961,NA
"61","LV-125","L","LV",0,40.400121,-105.102123,NA
"62","LV-FLOAT","L","LV",0,40.396389,-105.073908,NA
"63","FC-006","L","NE",1,40.592328,-105.066295,2012
"64","FC-014","L","NE",1,40.56359,-105.006562,2013
"65","FC-019","L","NE",1,40.565586,-105.05203,2012
"66","FC-034","L","NE",1,40.62556,-105.05009,2012
"67","FC-038","L","NE",1,40.59911,-105.00623,2012
"68","FC-040","L","NE",1,40.60326,-105.06554,2012
"69","FC-040GR","G","NE",1,40.60326,-105.06553,2012
"70","FC-066","L","NE",1,40.55873,-105.02318,2012
"71","FC-066GR","G","NE",1,40.55873,-105.02318,2012
"72","FC-067","L","NE",1,40.57881,-105.05592,2012
"73","FC-069","L","NE",1,40.61438,-105.0527,2012
"74","FC-072","L","NE",1,40.56953,-105.07117,2012
"75","FC-091GR","G","NE",1,40.57052,-105.05457,2012
"76","FC-092GR","G","NE",1,40.58407,-105.06497,2012
"77","FC-011","L","NW",1,40.56948,-105.13603,2012
"78","FC-015","L","NW",1,40.5598,-105.12409,2012
"79","FC-036","L","NW",1,40.600766,-105.079837,2012
"80","FC-041","L","NW",1,40.58794,-105.10486,2012
"81","FC-049","L","NW",1,40.57324,-105.13949,2012
"82","FC-052","L","NW",1,40.56163,-105.08703,2012
"83","FC-061","L","NW",1,40.5688,-105.09165,2012
"84","FC-063","L","NW",1,40.56568,-105.10485,2012
"85","FC-063GR","G","NW",1,40.56568,-105.10505,2013
"86","FC-073","L","NW",1,40.58605,-105.08889,2012
"87","FC-090GR","G","NW",1,40.58196,-105.11136,2012
"88","FC-004","L","SE",1,40.53486,-105.03733,2013
"89","FC-023","L","SE",1,40.54466,-105.0641,2012
"90","FC-027","L","SE",1,40.54651,-105.03359,2012
"91","FC-029","L","SE",1,40.51011,-105.06935,2012
"92","FC-029GR","G","SE",1,40.51101,-105.06937,2012
"93","FC-031","L","SE",1,40.50609,-105.03942,2012
"94","FC-039","L","SE",1,40.48081,-105.03934,2012
"95","FC-046","L","SE",1,40.52983,-105.06484,2012
"96","FC-047","L","SE",1,40.51551,-105.05292,2013
"97","FC-050","L","SE",1,40.52954,-105.05033,2012
"98","FC-053","L","SE",1,40.49942,-105.01183,2013
"99","FC-054","L","SE",1,40.49998,-105.0632,2013
"100","FC-059","L","SE",1,40.5426,-105.04604,2012
"101","FC-064","L","SE",1,40.49868,-105.0298,2012
"102","FC-074","L","SE",1,40.51432,-105.00249,2012
"103","FC-075","L","SE",1,40.51138,-105.01987,2012
"104","FC-075GR","G","SE",1,40.51138,-105.02937,2012
"105","FC-088GR","G","SE",1,40.53331,-105.03053,2013
"106","FC-001","L","SW",1,40.49087,-105.08257,2012
"107","FC-037","L","SW",1,40.51668,-105.09808,2012
"108","FC-057","L","SW",1,40.48439,-105.10524,2014
"109","FC-058","L","SW",1,40.54884,-105.12533,2012
"110","FC-060","L","SW",1,40.5487,-105.12019,2012
"111","FC-062","L","SW",1,40.54278,-105.08741,2012
"112","FC-068","L","SW",1,40.516,-105.08547,2012
"113","FC-071","L","SW",1,40.52733,-105.10821,2013
"114","FC-089GR","G","SW",1,40.53631,-105.10056,2012
"115","FC-093","L","SW",1,40.53186,-105.08825,2012
